# COSI2 B0 scan
# time 2024-05-27 11:16:39.641517
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240412/sphere_ball_small:magnet_x-y+z-
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
309.390,88.430,206.010,-47.4650,-0.8090,-2.2020,47.5190
283.670,88.430,206.010,-47.4690,-0.8070,-2.2000,47.5260
257.960,88.430,206.010,-47.4680,-0.8120,-2.1950,47.5250
232.240,88.430,206.010,-47.4680,-0.8220,-2.1800,47.5290
206.530,114.140,206.010,-47.4780,-0.8420,-2.1640,47.5330
232.240,114.140,206.010,-47.4960,-0.8640,-2.1520,47.5460
257.960,114.140,206.010,-47.5380,-0.8720,-2.1500,47.5910
283.670,114.140,206.010,-47.5210,-0.8580,-2.1540,47.5790
309.390,139.860,206.010,-47.5020,-0.8430,-2.1610,47.5580
283.670,139.860,206.010,-47.4870,-0.8130,-2.1680,47.5460
257.960,139.860,206.010,-47.4940,-0.7810,-2.1550,47.5490
232.240,139.860,206.010,-47.4980,-0.7890,-2.1470,47.5520
206.530,165.570,206.010,-47.5050,-0.8130,-2.1500,47.5550
232.240,165.570,206.010,-47.5190,-0.8340,-2.1530,47.5730
257.960,165.570,206.010,-47.5340,-0.8510,-2.1590,47.5880
283.670,165.570,206.010,-47.5160,-0.8340,-2.1460,47.5720
206.530,217.000,231.730,-47.4990,-0.8080,-2.1280,47.5560
232.240,217.000,231.730,-47.5000,-0.7820,-2.1160,47.5530
257.960,217.000,231.730,-47.5070,-0.8270,-2.1480,47.5620
283.670,217.000,231.730,-47.4970,-0.8070,-2.1300,47.5540
335.100,191.290,231.730,-47.4910,-0.7750,-2.0930,47.5430
309.390,191.290,231.730,-47.4870,-0.7230,-2.0540,47.5390
283.670,191.290,231.730,-47.5030,-0.6430,-1.9880,47.5440
257.960,191.290,231.730,-47.5090,-0.6540,-2.0310,47.5550
232.240,191.290,231.730,-47.5190,-0.6880,-2.0740,47.5690
206.530,191.290,231.730,-47.5200,-0.7490,-2.1070,47.5720
180.810,165.570,231.730,-47.5210,-0.7870,-2.1370,47.5720
206.530,165.570,231.730,-47.5340,-0.8200,-2.1510,47.5890
232.240,165.570,231.730,-47.5870,-0.8380,-2.1780,47.6440
257.960,165.570,231.730,-47.5650,-0.8310,-2.1760,47.6230
283.670,165.570,231.730,-47.5500,-0.8090,-2.1660,47.6040
309.390,165.570,231.730,-47.5330,-0.7760,-2.1480,47.5900
335.100,139.860,231.730,-47.5450,-0.7290,-2.1420,47.5990
309.390,139.860,231.730,-47.5300,-0.6870,-2.1350,47.5880
283.670,139.860,231.730,-47.5020,-0.7120,-2.1870,47.5600
257.960,139.860,231.730,-47.5190,-0.7190,-2.1910,47.5750
232.240,139.860,231.730,-47.5240,-0.7480,-2.1790,47.5810
206.530,139.860,231.730,-47.5400,-0.7790,-2.1750,47.5940
180.810,114.140,231.730,-47.5440,-0.8130,-2.1720,47.6020
206.530,114.140,231.730,-47.5640,-0.8350,-2.1650,47.6180
232.240,114.140,231.730,-47.5790,-0.8600,-2.1630,47.6350
257.960,114.140,231.730,-47.5640,-0.8540,-2.1670,47.6230
283.670,114.140,231.730,-47.5380,-0.8440,-2.1730,47.5970
309.390,114.140,231.730,-47.5280,-0.8200,-2.1890,47.5850
309.390,88.430,231.730,-47.5170,-0.7950,-2.1980,47.5740
283.670,88.430,231.730,-47.5020,-0.7690,-2.2160,47.5630
257.960,88.430,231.730,-47.4900,-0.7850,-2.2200,47.5510
232.240,88.430,231.730,-47.4920,-0.8050,-2.2090,47.5520
206.530,62.710,257.440,-47.5020,-0.8310,-2.1920,47.5590
232.240,62.710,257.440,-47.5130,-0.8470,-2.1790,47.5710
257.960,62.710,257.440,-47.5480,-0.8650,-2.1770,47.6050
283.670,62.710,257.440,-47.5310,-0.8620,-2.1900,47.5910
335.100,88.430,257.440,-47.5100,-0.8460,-2.2130,47.5690
309.390,88.430,257.440,-47.4930,-0.8370,-2.2260,47.5510
283.670,88.430,257.440,-47.4970,-0.7830,-2.2650,47.5610
257.960,88.430,257.440,-47.4990,-0.7850,-2.2630,47.5610
232.240,88.430,257.440,-47.5150,-0.8050,-2.2450,47.5780
206.530,88.430,257.440,-47.5230,-0.8190,-2.2220,47.5820
180.810,114.140,257.440,-47.5360,-0.8380,-2.2060,47.5970
206.530,114.140,257.440,-47.5620,-0.8480,-2.1850,47.6200
232.240,114.140,257.440,-47.5990,-0.8430,-2.1910,47.6570
257.960,114.140,257.440,-47.5880,-0.8360,-2.1870,47.6450
283.670,114.140,257.440,-47.5600,-0.8270,-2.2000,47.6200
309.390,114.140,257.440,-47.5570,-0.8000,-2.2190,47.6110
335.100,139.860,257.440,-47.5460,-0.7740,-2.2470,47.6050
309.390,139.860,257.440,-47.5330,-0.7470,-2.2640,47.5920
283.670,139.860,257.440,-47.5050,-0.6570,-2.2750,47.5660
257.960,139.860,257.440,-47.5460,-0.6490,-2.2670,47.6010
232.240,139.860,257.440,-47.5760,-0.7070,-2.2380,47.6330
206.530,139.860,257.440,-47.5810,-0.7550,-2.2150,47.6400
180.810,165.570,257.440,-47.5730,-0.7900,-2.1970,47.6300
