# COSI2 B0 scan
# time 2024-05-22 18:55:30.362520
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_no_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.700,93.770,204.470,0.0000,0.0000,0.0000,0.0000
247.030,93.770,204.470,-47.4800,-0.8680,1.9980,47.5320
215.030,104.430,204.470,-47.4790,-0.8790,2.0010,47.5250
225.700,104.430,204.470,-47.4940,-0.8920,2.0230,47.5440
236.370,104.430,204.470,-47.4950,-0.8860,2.0170,47.5430
247.030,104.430,204.470,-47.4920,-0.8810,2.0120,47.5420
257.700,104.430,204.470,-47.4890,-0.8740,2.0090,47.5400
268.370,104.430,204.470,-47.4840,-0.8640,1.9990,47.5360
279.030,115.100,204.470,-47.4970,-0.8600,1.9940,47.5440
268.370,115.100,204.470,-47.5040,-0.8510,2.0000,47.5550
257.700,115.100,204.470,-47.4970,-0.8620,1.9970,47.5500
247.030,115.100,204.470,-47.4970,-0.8660,2.0070,47.5450
236.370,115.100,204.470,-47.4910,-0.8750,2.0100,47.5410
225.700,115.100,204.470,-47.4960,-0.8760,2.0180,47.5470
204.370,125.770,204.470,-47.4960,-0.8820,2.0170,47.5470
215.030,125.770,204.470,-47.5140,-0.8900,2.0250,47.5650
225.700,125.770,204.470,-47.5080,-0.8870,2.0210,47.5590
236.370,125.770,204.470,-47.4970,-0.8830,2.0200,47.5520
247.030,125.770,204.470,-47.4930,-0.8780,2.0160,47.5500
257.700,125.770,204.470,-47.5000,-0.8700,2.0140,47.5490
268.370,125.770,204.470,-47.5060,-0.8690,2.0090,47.5540
279.030,125.770,204.470,-47.4990,-0.8560,2.0060,47.5500
289.700,136.430,204.470,-47.5060,-0.8530,2.0080,47.5600
279.030,136.430,204.470,-47.5260,-0.8500,2.0100,47.5780
268.370,136.430,204.470,-47.5120,-0.8510,2.0150,47.5600
257.700,136.430,204.470,-47.5110,-0.8600,2.0200,47.5640
247.030,136.430,204.470,-47.5090,-0.8610,2.0170,47.5530
236.370,136.430,204.470,-47.5010,-0.8680,2.0240,47.5520
225.700,136.430,204.470,-47.5010,-0.8760,2.0230,47.5520
215.030,136.430,204.470,-47.4990,-0.8790,2.0250,47.5500
215.030,147.100,204.470,-47.5020,-0.8810,2.0240,47.5530
225.700,147.100,204.470,-47.5080,-0.8830,2.0200,47.5580
236.370,147.100,204.470,-47.4960,-0.8770,2.0200,47.5460
247.030,147.100,204.470,-47.5010,-0.8720,2.0270,47.5510
257.700,147.100,204.470,-47.4950,-0.8690,2.0300,47.5520
268.370,147.100,204.470,-47.5000,-0.8640,2.0290,47.5510
279.030,157.770,204.470,-47.5080,-0.8590,2.0340,47.5600
268.370,157.770,204.470,-47.5120,-0.8530,2.0510,47.5640
257.700,157.770,204.470,-47.5080,-0.8550,2.0490,47.5590
247.030,157.770,204.470,-47.4980,-0.8630,2.0420,47.5530
236.370,157.770,204.470,-47.4980,-0.8680,2.0380,47.5500
225.700,157.770,204.470,-47.4910,-0.8660,2.0340,47.5470
