# COSI2 B0 scan
# time 2024-05-23 10:02:34.516565
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.700,93.770,204.470,0.0000,0.0000,0.0000,0.0000
247.030,93.770,204.470,-47.6010,-0.9370,2.0080,47.6530
215.030,104.430,204.470,-47.6020,-0.9470,2.0170,47.6570
225.700,104.430,204.470,-47.6320,-0.9870,2.0190,47.6870
236.370,104.430,204.470,-47.6230,-0.9710,2.0170,47.6740
247.030,104.430,204.470,-47.6090,-0.9540,2.0150,47.6620
257.700,104.430,204.470,-47.6070,-0.9370,2.0120,47.6580
268.370,104.430,204.470,-47.6090,-0.9270,2.0070,47.6600
279.030,115.100,204.470,-47.6030,-0.9140,2.0080,47.6550
268.370,115.100,204.470,-47.6070,-0.8980,2.0040,47.6580
257.700,115.100,204.470,-47.6040,-0.9120,2.0030,47.6550
247.030,115.100,204.470,-47.6120,-0.9260,2.0080,47.6620
236.370,115.100,204.470,-47.6110,-0.9340,2.0130,47.6600
225.700,115.100,204.470,-47.6170,-0.9520,2.0120,47.6700
204.370,125.770,204.470,-47.6160,-0.9610,2.0140,47.6680
215.030,125.770,204.470,-47.6420,-0.9800,2.0020,47.6970
225.700,125.770,204.470,-47.6350,-0.9680,2.0040,47.6850
236.370,125.770,204.470,-47.6210,-0.9520,2.0120,47.6730
247.030,125.770,204.470,-47.6150,-0.9370,2.0060,47.6710
257.700,125.770,204.470,-47.6050,-0.9350,2.0060,47.6590
268.370,125.770,204.470,-47.6090,-0.9250,2.0090,47.6590
279.030,125.770,204.470,-47.6090,-0.9090,2.0110,47.6600
289.700,136.430,204.470,-47.6110,-0.8960,2.0100,47.6590
279.030,136.430,204.470,-47.6140,-0.8780,2.0120,47.6670
268.370,136.430,204.470,-47.6080,-0.8890,2.0150,47.6610
257.700,136.430,204.470,-47.6120,-0.9030,2.0130,47.6600
247.030,136.430,204.470,-47.6070,-0.9160,2.0150,47.6590
236.370,136.430,204.470,-47.6060,-0.9250,2.0110,47.6580
225.700,136.430,204.470,-47.6130,-0.9360,2.0100,47.6640
215.030,136.430,204.470,-47.6180,-0.9480,2.0020,47.6720
215.030,147.100,204.470,-47.6250,-0.9620,2.0000,47.6750
225.700,147.100,204.470,-47.6220,-0.9580,1.9940,47.6740
236.370,147.100,204.470,-47.6160,-0.9450,2.0020,47.6650
247.030,147.100,204.470,-47.6050,-0.9310,2.0040,47.6580
257.700,147.100,204.470,-47.6030,-0.9200,2.0070,47.6560
268.370,147.100,204.470,-47.6030,-0.9050,2.0160,47.6540
279.030,157.770,204.470,-47.6090,-0.9000,2.0200,47.6600
268.370,157.770,204.470,-47.6060,-0.8820,2.0320,47.6580
257.700,157.770,204.470,-47.5950,-0.9000,2.0270,47.6480
247.030,157.770,204.470,-47.5980,-0.9060,2.0190,47.6530
236.370,157.770,204.470,-47.6050,-0.9170,2.0140,47.6560
