# COSI2 B0 scan,,,,,,
# time 2024-05-23 10:02:34.516565,,,,,,
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm,,,,
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg,,,,
# path: /home/cosi/cosi-measure/Software/COSI2/data/240522/path_with_magnet_80mm_8pts,,,,,,
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
257.7,93.77,204.47,-47.601,-0.937,2.008,47.653
247.03,93.77,204.47,-47.602,-0.947,2.017,47.657
215.03,104.43,204.47,-47.632,-0.987,2.019,47.687
225.7,104.43,204.47,-47.623,-0.971,2.017,47.674
236.37,104.43,204.47,-47.609,-0.954,2.015,47.662
247.03,104.43,204.47,-47.607,-0.937,2.012,47.658
257.7,104.43,204.47,-47.609,-0.927,2.007,47.66
268.37,104.43,204.47,-47.603,-0.914,2.008,47.655
279.03,115.1,204.47,-47.607,-0.898,2.004,47.658
268.37,115.1,204.47,-47.604,-0.912,2.003,47.655
257.7,115.1,204.47,-47.612,-0.926,2.008,47.662
247.03,115.1,204.47,-47.611,-0.934,2.013,47.66
236.37,115.1,204.47,-47.617,-0.952,2.012,47.67
225.7,115.1,204.47,-47.616,-0.961,2.014,47.668
204.37,125.77,204.47,-47.642,-0.98,2.002,47.697
215.03,125.77,204.47,-47.635,-0.968,2.004,47.685
225.7,125.77,204.47,-47.621,-0.952,2.012,47.673
236.37,125.77,204.47,-47.615,-0.937,2.006,47.671
247.03,125.77,204.47,-47.605,-0.935,2.006,47.659
257.7,125.77,204.47,-47.609,-0.925,2.009,47.659
268.37,125.77,204.47,-47.609,-0.909,2.011,47.66
279.03,125.77,204.47,-47.611,-0.896,2.01,47.659
289.7,136.43,204.47,-47.614,-0.878,2.012,47.667
279.03,136.43,204.47,-47.608,-0.889,2.015,47.661
268.37,136.43,204.47,-47.612,-0.903,2.013,47.66
257.7,136.43,204.47,-47.607,-0.916,2.015,47.659
247.03,136.43,204.47,-47.606,-0.925,2.011,47.658
236.37,136.43,204.47,-47.613,-0.936,2.01,47.664
225.7,136.43,204.47,-47.618,-0.948,2.002,47.672
215.03,136.43,204.47,-47.625,-0.962,2,47.675
215.03,147.1,204.47,-47.622,-0.958,1.994,47.674
225.7,147.1,204.47,-47.616,-0.945,2.002,47.665
236.37,147.1,204.47,-47.605,-0.931,2.004,47.658
247.03,147.1,204.47,-47.603,-0.92,2.007,47.656
257.7,147.1,204.47,-47.603,-0.905,2.016,47.654
268.37,147.1,204.47,-47.609,-0.9,2.02,47.66
279.03,157.77,204.47,-47.606,-0.882,2.032,47.658
268.37,157.77,204.47,-47.595,-0.9,2.027,47.648
257.7,157.77,204.47,-47.598,-0.906,2.019,47.653
247.03,157.77,204.47,-47.605,-0.917,2.014,47.656
236.37,157.77,204.47,-47.598,-0.926,2.006,47.651
225.7,157.77,204.47,-47.604,-0.936,1.996,47.654
236.37,168.43,204.47,-47.59,-0.916,2.003,47.64
247.03,168.43,204.47,-47.586,-0.914,2.014,47.637
225.7,189.77,215.13,-47.586,-0.919,1.983,47.633
236.37,189.77,215.13,-47.581,-0.906,1.997,47.632
247.03,189.77,215.13,-47.577,-0.898,2.014,47.629
257.7,189.77,215.13,-47.575,-0.89,2.025,47.627
289.7,179.1,215.13,-47.609,-0.867,2.058,47.659
279.03,179.1,215.13,-47.597,-0.874,2.052,47.65
268.37,179.1,215.13,-47.595,-0.888,2.032,47.648
257.7,179.1,215.13,-47.591,-0.896,2.019,47.642
247.03,179.1,215.13,-47.592,-0.902,2.005,47.643
236.37,179.1,215.13,-47.59,-0.912,1.998,47.641
225.7,179.1,215.13,-47.598,-0.923,1.986,47.65
215.03,179.1,215.13,-47.607,-0.935,1.972,47.656
204.37,168.43,215.13,-47.639,-0.951,1.963,47.688
215.03,168.43,215.13,-47.621,-0.942,1.978,47.671
225.7,168.43,215.13,-47.609,-0.93,1.989,47.661
236.37,168.43,215.13,-47.601,-0.918,2.001,47.658
247.03,168.43,215.13,-47.607,-0.907,2.005,47.655
257.7,168.43,215.13,-47.6,-0.9,2.018,47.651
268.37,168.43,215.13,-47.607,-0.892,2.027,47.659
279.03,168.43,215.13,-47.609,-0.884,2.04,47.661
300.37,157.77,215.13,-47.628,-0.864,2.034,47.686
289.7,157.77,215.13,-47.626,-0.874,2.031,47.675
279.03,157.77,215.13,-47.624,-0.886,2.034,47.675
268.37,157.77,215.13,-47.611,-0.895,2.017,47.66
257.7,157.77,215.13,-47.612,-0.904,2.014,47.659
247.03,157.77,215.13,-47.611,-0.914,2.005,47.661
236.37,157.77,215.13,-47.614,-0.923,1.994,47.665
225.7,157.77,215.13,-47.619,-0.932,1.986,47.67
215.03,157.77,215.13,-47.633,-0.946,1.982,47.684
204.37,157.77,215.13,-47.642,-0.959,1.971,47.694
193.7,147.1,215.13,-47.656,-0.979,1.973,47.707
204.37,147.1,215.13,-47.647,-0.971,1.978,47.699
215.03,147.1,215.13,-47.632,-0.955,1.982,47.684
225.7,147.1,215.13,-47.618,-0.945,1.982,47.671
236.37,147.1,215.13,-47.628,-0.933,1.995,47.677
247.03,147.1,215.13,-47.616,-0.925,1.999,47.667
257.7,147.1,215.13,-47.619,-0.909,2.005,47.669
268.37,147.1,215.13,-47.615,-0.9,2.013,47.666
279.03,147.1,215.13,-47.623,-0.889,2.017,47.673
289.7,147.1,215.13,-47.624,-0.881,2.019,47.673
300.37,136.43,215.13,-47.641,-0.87,2.01,47.693
289.7,136.43,215.13,-47.63,-0.88,2.013,47.681
279.03,136.43,215.13,-47.619,-0.891,2.011,47.672
268.37,136.43,215.13,-47.621,-0.905,2.009,47.674
257.7,136.43,215.13,-47.618,-0.91,2,47.668
247.03,136.43,215.13,-47.628,-0.928,1.999,47.676
236.37,136.43,215.13,-47.63,-0.934,1.999,47.679
225.7,136.43,215.13,-47.635,-0.948,1.989,47.686
215.03,136.43,215.13,-47.641,-0.962,1.996,47.692
204.37,136.43,215.13,-47.651,-0.967,1.985,47.705
193.7,125.77,215.13,-47.671,-0.998,1.988,47.722
204.37,125.77,215.13,-47.656,-0.982,1.986,47.707
215.03,125.77,215.13,-47.644,-0.967,1.997,47.701
225.7,125.77,215.13,-47.637,-0.957,1.998,47.686
236.37,125.77,215.13,-47.628,-0.935,1.993,47.679
247.03,125.77,215.13,-47.626,-0.929,1.999,47.675
257.7,125.77,215.13,-47.621,-0.922,1.997,47.672
268.37,125.77,215.13,-47.621,-0.905,2.001,47.672
279.03,125.77,215.13,-47.624,-0.896,2.003,47.669
289.7,125.77,215.13,-47.624,-0.879,2.002,47.674
289.7,115.1,215.13,-47.626,-0.878,1.994,47.675
279.03,115.1,215.13,-47.623,-0.895,1.997,47.674
268.37,115.1,215.13,-47.619,-0.908,2,47.67
257.7,115.1,215.13,-47.622,-0.922,1.999,47.67
247.03,115.1,215.13,-47.621,-0.937,1.996,47.672
236.37,115.1,215.13,-47.629,-0.945,2.001,47.683
225.7,115.1,215.13,-47.638,-0.955,2.001,47.691
215.03,115.1,215.13,-47.655,-0.978,2.004,47.708
204.37,104.43,215.13,-47.66,-0.995,2.007,47.713
215.03,104.43,215.13,-47.647,-0.984,2.005,47.698
225.7,104.43,215.13,-47.638,-0.963,2.002,47.69
236.37,104.43,215.13,-47.631,-0.955,2,47.682
247.03,104.43,215.13,-47.625,-0.936,2.003,47.679
257.7,104.43,215.13,-47.619,-0.925,2.001,47.67
268.37,104.43,215.13,-47.616,-0.909,2,47.666
279.03,104.43,215.13,-47.622,-0.897,1.997,47.674
268.37,93.77,215.13,-47.613,-0.911,1.992,47.662
257.7,93.77,215.13,-47.613,-0.928,1.999,47.664
247.03,93.77,215.13,-47.621,-0.942,2.007,47.675
236.37,93.77,215.13,-47.624,-0.961,2.005,47.679
268.37,72.43,225.8,-47.62,-0.921,1.984,47.666
257.7,72.43,225.8,-47.622,-0.932,1.993,47.675
247.03,72.43,225.8,-47.629,-0.948,2,47.682
236.37,72.43,225.8,-47.635,-0.964,2.006,47.689
204.37,83.1,225.8,-47.676,-1.014,2.01,47.727
215.03,83.1,225.8,-47.666,-0.995,2.004,47.714
225.7,83.1,225.8,-47.659,-0.977,2.005,47.708
236.37,83.1,225.8,-47.644,-0.955,1.999,47.695
247.03,83.1,225.8,-47.631,-0.943,2,47.68
257.7,83.1,225.8,-47.63,-0.931,1.993,47.679
268.37,83.1,225.8,-47.623,-0.912,1.982,47.673
279.03,83.1,225.8,-47.624,-0.897,1.975,47.673
300.37,93.77,225.8,-47.638,-0.866,1.97,47.687
289.7,93.77,225.8,-47.633,-0.883,1.976,47.682
279.03,93.77,225.8,-47.63,-0.903,1.978,47.68
268.37,93.77,225.8,-47.629,-0.916,1.988,47.682
257.7,93.77,225.8,-47.636,-0.926,1.989,47.681
247.03,93.77,225.8,-47.642,-0.945,1.989,47.693
236.37,93.77,225.8,-47.647,-0.953,1.997,47.702
225.7,93.77,225.8,-47.655,-0.971,1.997,47.704
215.03,93.77,225.8,-47.671,-0.983,2,47.723
204.37,93.77,225.8,-47.678,-1.005,2.003,47.731
193.7,104.43,225.8,-47.692,-1.013,1.986,47.742
204.37,104.43,225.8,-47.676,-0.99,1.986,47.728
215.03,104.43,225.8,-47.667,-0.976,1.987,47.72
225.7,104.43,225.8,-47.661,-0.964,1.992,47.709
236.37,104.43,225.8,-47.643,-0.946,1.993,47.697
247.03,104.43,225.8,-47.641,-0.934,1.989,47.698
257.7,104.43,225.8,-47.64,-0.918,1.988,47.69
268.37,104.43,225.8,-47.633,-0.911,1.989,47.681
279.03,104.43,225.8,-47.634,-0.899,1.984,47.687
289.7,104.43,225.8,-47.634,-0.882,1.978,47.683
311.03,115.1,225.8,-47.654,-0.848,1.98,47.702
300.37,115.1,225.8,-47.649,-0.864,1.985,47.7
289.7,115.1,225.8,-47.638,-0.874,1.992,47.689
279.03,115.1,225.8,-47.633,-0.889,1.992,47.682
268.37,115.1,225.8,-47.636,-0.904,1.986,47.686
257.7,115.1,225.8,-47.637,-0.914,1.989,47.687
247.03,115.1,225.8,-47.641,-0.936,1.989,47.688
236.37,115.1,225.8,-47.65,-0.938,1.993,47.701
