# COSI2 B0 scan
# time 2024-05-23 17:30:37.842827
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240523/cross_100mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
141.700,131.100,273.800,0.0000,0.0000,0.0000,0.0000
152.230,131.100,273.800,-47.6540,-0.8670,2.5340,47.7280
162.750,131.100,273.800,-47.6310,-0.8640,2.5370,47.7080
173.280,131.100,273.800,-47.6190,-0.8580,2.5330,47.6930
183.810,131.100,273.800,-47.6030,-0.8610,2.5400,47.6790
194.330,131.100,273.800,-47.5890,-0.8580,2.5380,47.6630
204.860,131.100,273.800,-47.5790,-0.8600,2.5390,47.6570
215.380,131.100,273.800,-47.5740,-0.8580,2.5440,47.6460
225.910,131.100,273.800,-47.5630,-0.8610,2.5420,47.6380
236.440,131.100,273.800,-47.5590,-0.8610,2.5480,47.6330
246.960,131.100,273.800,-47.5540,-0.8630,2.5460,47.6330
257.490,131.100,273.800,-47.5600,-0.8610,2.5510,47.6360
268.020,131.100,273.800,-47.5590,-0.8650,2.5470,47.6350
278.540,131.100,273.800,-47.5690,-0.8530,2.5550,47.6460
289.070,131.100,273.800,-47.5750,-0.8570,2.5500,47.6540
299.590,131.100,273.800,-47.5900,-0.8500,2.5560,47.6630
310.120,131.100,273.800,-47.6030,-0.8420,2.5560,47.6790
320.650,131.100,273.800,-47.6120,-0.8430,2.5470,47.6880
331.170,131.100,273.800,-47.6360,-0.8340,2.5430,47.7130
341.700,131.100,273.800,-47.6590,-0.8290,2.5340,47.7340
241.700,31.100,273.800,-47.6870,-0.8210,2.5170,47.7630
241.700,41.630,273.800,-47.5080,-0.8900,2.5130,47.5800
241.700,52.150,273.800,-47.5240,-0.8950,2.5110,47.5990
241.700,62.680,273.800,-47.5300,-0.8920,2.5240,47.6030
241.700,73.210,273.800,-47.5350,-0.8800,2.5260,47.6100
241.700,83.730,273.800,-47.5460,-0.8740,2.5220,47.6210
241.700,94.260,273.800,-47.5460,-0.8740,2.5290,47.6220
241.700,104.780,273.800,-47.5490,-0.8700,2.5300,47.6200
241.700,115.310,273.800,-47.5540,-0.8650,2.5370,47.6290
241.700,125.840,273.800,-47.5540,-0.8610,2.5370,47.6280
241.700,136.360,273.800,-47.5530,-0.8580,2.5480,47.6290
241.700,146.890,273.800,-47.5520,-0.8540,2.5500,47.6280
241.700,157.420,273.800,-47.5470,-0.8540,2.5580,47.6240
241.700,167.940,273.800,-47.5430,-0.8530,2.5660,47.6200
241.700,178.470,273.800,-47.5390,-0.8540,2.5780,47.6170
241.700,188.990,273.800,-47.5300,-0.8500,2.5830,47.6070
241.700,199.520,273.800,-47.5230,-0.8450,2.5890,47.6010
241.700,210.050,273.800,-47.5080,-0.8470,2.6000,47.5870
241.700,220.570,273.800,-47.4920,-0.8460,2.6040,47.5710
241.700,231.100,273.800,-47.4790,-0.8530,2.6100,47.5580
241.700,131.100,173.800,-47.4620,-0.8580,2.6160,47.5420
241.700,131.100,184.330,-47.4860,-0.8850,2.5940,47.5620
241.700,131.100,194.850,-47.4920,-0.8810,2.5910,47.5720
241.700,131.100,205.380,-47.5070,-0.8780,2.5870,47.5870
241.700,131.100,215.910,-47.5080,-0.8780,2.5850,47.5910
241.700,131.100,226.430,-47.5150,-0.8770,2.5800,47.5950
241.700,131.100,236.960,-47.5280,-0.8670,2.5720,47.6070
241.700,131.100,247.480,-47.5390,-0.8680,2.5680,47.6160
241.700,131.100,258.010,-47.5450,-0.8720,2.5670,47.6230
241.700,131.100,268.540,-47.5460,-0.8640,2.5600,47.6180
241.700,131.100,279.060,-47.5500,-0.8610,2.5520,47.6230
241.700,131.100,289.590,-47.5500,-0.8520,2.5470,47.6270
241.700,131.100,300.120,-47.5600,-0.8550,2.5390,47.6340
241.700,131.100,310.640,-47.5520,-0.8510,2.5270,47.6280
241.700,131.100,321.170,-47.5570,-0.8480,2.5210,47.6310
241.700,131.100,331.690,-47.5560,-0.8470,2.5130,47.6320
241.700,131.100,342.220,-47.5520,-0.8430,2.4970,47.6250
241.700,131.100,352.750,-47.5520,-0.8460,2.4840,47.6240
241.700,131.100,363.270,-47.5520,-0.8460,2.4710,47.6240
241.700,131.100,373.800,-47.5550,-0.8490,2.4550,47.6260
