# COSI2 B0 scan
# time 2024-05-23 17:48:28.607803
# MAGNET CENTER IN LAB: x 241.700 mm, y 131.100 mm, z 273.800 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240523/cross_100mm_z_gradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
141.700,131.100,273.800,0.0000,0.0000,0.0000,0.0000
152.230,131.100,273.800,-47.6330,-0.8360,2.5570,47.7110
162.750,131.100,273.800,-47.6160,-0.8310,2.5570,47.6920
173.280,131.100,273.800,-47.5990,-0.8360,2.5580,47.6740
183.810,131.100,273.800,-47.5710,-0.8340,2.5570,47.6520
194.330,131.100,273.800,-47.5650,-0.8370,2.5560,47.6390
204.860,131.100,273.800,-47.5460,-0.8390,2.5560,47.6280
215.380,131.100,273.800,-47.5410,-0.8410,2.5580,47.6220
225.910,131.100,273.800,-47.5320,-0.8400,2.5590,47.6080
236.440,131.100,273.800,-47.5300,-0.8380,2.5580,47.6060
246.960,131.100,273.800,-47.5240,-0.8320,2.5600,47.6000
257.490,131.100,273.800,-47.5280,-0.8320,2.5610,47.6060
268.020,131.100,273.800,-47.5320,-0.8300,2.5590,47.6090
278.540,131.100,273.800,-47.5380,-0.8290,2.5650,47.6100
289.070,131.100,273.800,-47.5440,-0.8210,2.5640,47.6210
299.590,131.100,273.800,-47.5530,-0.8150,2.5570,47.6300
310.120,131.100,273.800,-47.5610,-0.8080,2.5500,47.6360
320.650,131.100,273.800,-47.5770,-0.8010,2.5350,47.6510
331.170,131.100,273.800,-47.6090,-0.7980,2.5180,47.6820
341.700,131.100,273.800,-47.6410,-0.7940,2.4930,47.7130
241.700,31.100,273.800,-47.7080,-0.7890,2.4590,47.7780
241.700,41.630,273.800,-47.5070,-0.8570,2.5250,47.5770
241.700,52.150,273.800,-47.4930,-0.8570,2.5260,47.5690
241.700,62.680,273.800,-47.4960,-0.8570,2.5220,47.5700
241.700,73.210,273.800,-47.5000,-0.8510,2.5200,47.5750
241.700,83.730,273.800,-47.5100,-0.8460,2.5280,47.5820
241.700,94.260,273.800,-47.5150,-0.8440,2.5320,47.5880
241.700,104.780,273.800,-47.5170,-0.8410,2.5340,47.5950
241.700,115.310,273.800,-47.5230,-0.8360,2.5380,47.6000
241.700,125.840,273.800,-47.5190,-0.8340,2.5520,47.5980
241.700,136.360,273.800,-47.5250,-0.8290,2.5570,47.6030
241.700,146.890,273.800,-47.5240,-0.8280,2.5720,47.6000
241.700,157.420,273.800,-47.5230,-0.8240,2.5780,47.5980
241.700,167.940,273.800,-47.5170,-0.8290,2.5930,47.5980
241.700,178.470,273.800,-47.5150,-0.8250,2.6010,47.5900
241.700,188.990,273.800,-47.5050,-0.8280,2.6200,47.5850
241.700,199.520,273.800,-47.4930,-0.8320,2.6300,47.5760
241.700,210.050,273.800,-47.4820,-0.8300,2.6440,47.5590
241.700,220.570,273.800,-47.4650,-0.8320,2.6470,47.5430
241.700,231.100,273.800,-47.4560,-0.8380,2.6520,47.5370
241.700,131.100,173.800,-47.4440,-0.8470,2.6650,47.5280
241.700,131.100,184.330,-47.4560,-0.9210,2.5900,47.5350
241.700,131.100,194.850,-47.4600,-0.9110,2.5870,47.5410
241.700,131.100,205.380,-47.4670,-0.9060,2.5890,47.5450
241.700,131.100,215.910,-47.4750,-0.8880,2.5890,47.5550
241.700,131.100,226.430,-47.4870,-0.8800,2.5810,47.5630
241.700,131.100,236.960,-47.4930,-0.8730,2.5810,47.5720
241.700,131.100,247.480,-47.4990,-0.8650,2.5720,47.5770
241.700,131.100,258.010,-47.5120,-0.8530,2.5690,47.5860
241.700,131.100,268.540,-47.5170,-0.8490,2.5620,47.5900
241.700,131.100,279.060,-47.5270,-0.8390,2.5560,47.6010
241.700,131.100,289.590,-47.5280,-0.8260,2.5480,47.6010
241.700,131.100,300.120,-47.5300,-0.8170,2.5480,47.6070
241.700,131.100,310.640,-47.5340,-0.8090,2.5380,47.6080
241.700,131.100,321.170,-47.5380,-0.8050,2.5300,47.6140
241.700,131.100,331.690,-47.5440,-0.7980,2.5220,47.6170
241.700,131.100,342.220,-47.5450,-0.7860,2.5080,47.6170
241.700,131.100,352.750,-47.5500,-0.7720,2.4950,47.6210
241.700,131.100,363.270,-47.5470,-0.7680,2.4750,47.6170
241.700,131.100,373.800,-47.5550,-0.7560,2.4530,47.6260
