# COSI2 B0 scan
# time 2024-05-27 11:31:47.630159
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/ball_small_magnet_x-y+z-_3s_delay
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
275.100,77.000,200.300,-47.4500,-0.8490,-2.1590,47.5080
255.100,77.000,200.300,-47.4540,-0.8430,-2.1590,47.5070
215.100,97.000,200.300,-47.4630,-0.8710,-2.1440,47.5220
235.100,97.000,200.300,-47.5150,-0.8790,-2.1230,47.5680
255.100,97.000,200.300,-47.4990,-0.8660,-2.1320,47.5550
275.100,97.000,200.300,-47.4850,-0.8610,-2.1410,47.5410
315.100,117.000,200.300,-47.4710,-0.8360,-2.1560,47.5270
295.100,117.000,200.300,-47.4760,-0.8000,-2.1710,47.5330
275.100,117.000,200.300,-47.4810,-0.8010,-2.1580,47.5360
255.100,117.000,200.300,-47.4870,-0.8160,-2.1520,47.5440
235.100,117.000,200.300,-47.4940,-0.8420,-2.1430,47.5470
215.100,117.000,200.300,-47.5090,-0.8580,-2.1350,47.5640
195.100,137.000,200.300,-47.5320,-0.8720,-2.1300,47.5860
215.100,137.000,200.300,-47.5570,-0.8760,-2.1420,47.6110
235.100,137.000,200.300,-47.5360,-0.8650,-2.1390,47.5920
255.100,137.000,200.300,-47.5110,-0.8480,-2.1360,47.5640
275.100,137.000,200.300,-47.4950,-0.8280,-2.1400,47.5530
295.100,137.000,200.300,-47.4900,-0.8090,-2.1390,47.5450
295.100,157.000,200.300,-47.4880,-0.7900,-2.1460,47.5430
275.100,157.000,200.300,-47.4970,-0.7780,-2.1100,47.5490
255.100,157.000,200.300,-47.4960,-0.8000,-2.1110,47.5480
235.100,157.000,200.300,-47.4980,-0.8210,-2.1240,47.5520
235.100,177.000,200.300,-47.5070,-0.8410,-2.1300,47.5620
255.100,177.000,200.300,-47.4930,-0.8360,-2.1230,47.5460
235.100,217.000,220.300,-47.4790,-0.8070,-2.1070,47.5330
255.100,217.000,220.300,-47.4780,-0.8130,-2.1110,47.5300
315.100,197.000,220.300,-47.4740,-0.7830,-2.0880,47.5230
295.100,197.000,220.300,-47.4820,-0.7120,-2.0470,47.5300
275.100,197.000,220.300,-47.4900,-0.7190,-2.0410,47.5390
255.100,197.000,220.300,-47.4910,-0.7480,-2.0750,47.5420
235.100,197.000,220.300,-47.4950,-0.7820,-2.1030,47.5490
215.100,197.000,220.300,-47.5000,-0.8120,-2.1250,47.5540
195.100,177.000,220.300,-47.5120,-0.8340,-2.1540,47.5670
215.100,177.000,220.300,-47.5690,-0.8480,-2.1690,47.6230
235.100,177.000,220.300,-47.5360,-0.8360,-2.1540,47.5950
255.100,177.000,220.300,-47.5200,-0.8120,-2.1380,47.5740
275.100,177.000,220.300,-47.5140,-0.7930,-2.1230,47.5700
295.100,177.000,220.300,-47.5160,-0.7600,-2.1070,47.5680
335.100,157.000,220.300,-47.5160,-0.7300,-2.0970,47.5700
315.100,157.000,220.300,-47.5080,-0.7210,-2.1270,47.5610
295.100,157.000,220.300,-47.5140,-0.7270,-2.1330,47.5640
275.100,157.000,220.300,-47.5210,-0.7480,-2.1350,47.5750
255.100,157.000,220.300,-47.5150,-0.7720,-2.1400,47.5720
235.100,157.000,220.300,-47.5250,-0.7950,-2.1460,47.5810
215.100,157.000,220.300,-47.5330,-0.8140,-2.1470,47.5860
195.100,157.000,220.300,-47.5490,-0.8400,-2.1560,47.6070
175.100,137.000,220.300,-47.5720,-0.8510,-2.1610,47.6280
195.100,137.000,220.300,-47.5960,-0.8740,-2.1530,47.6520
215.100,137.000,220.300,-47.5700,-0.8600,-2.1500,47.6260
235.100,137.000,220.300,-47.5500,-0.8470,-2.1470,47.6050
255.100,137.000,220.300,-47.5330,-0.8270,-2.1550,47.5890
275.100,137.000,220.300,-47.5240,-0.8100,-2.1560,47.5770
295.100,137.000,220.300,-47.5140,-0.7900,-2.1630,47.5700
315.100,137.000,220.300,-47.5050,-0.7660,-2.1670,47.5620
315.100,117.000,220.300,-47.5030,-0.7500,-2.1680,47.5600
295.100,117.000,220.300,-47.4900,-0.7750,-2.1930,47.5470
275.100,117.000,220.300,-47.4990,-0.7930,-2.1830,47.5550
255.100,117.000,220.300,-47.5050,-0.8090,-2.1720,47.5600
235.100,117.000,220.300,-47.5140,-0.8240,-2.1640,47.5710
215.100,117.000,220.300,-47.5250,-0.8430,-2.1530,47.5830
195.100,97.000,220.300,-47.5410,-0.8570,-2.1480,47.5960
215.100,97.000,220.300,-47.5640,-0.8790,-2.1410,47.6150
235.100,97.000,220.300,-47.5370,-0.8760,-2.1520,47.5940
255.100,97.000,220.300,-47.5210,-0.8550,-2.1540,47.5810
275.100,97.000,220.300,-47.5020,-0.8440,-2.1700,47.5580
295.100,97.000,220.300,-47.4870,-0.8250,-2.1800,47.5470
275.100,77.000,220.300,-47.4840,-0.8090,-2.1950,47.5430
255.100,77.000,220.300,-47.4700,-0.8360,-2.1790,47.5300
215.100,57.000,240.300,-47.4870,-0.8540,-2.1690,47.5460
235.100,57.000,240.300,-47.5190,-0.8770,-2.1590,47.5700
255.100,57.000,240.300,-47.5030,-0.8710,-2.1720,47.5610
275.100,57.000,240.300,-47.4840,-0.8590,-2.1840,47.5420
315.100,77.000,240.300,-47.4760,-0.8460,-2.2020,47.5350
295.100,77.000,240.300,-47.4800,-0.8080,-2.2260,47.5390
275.100,77.000,240.300,-47.4920,-0.8150,-2.2210,47.5510
255.100,77.000,240.300,-47.4970,-0.8260,-2.2020,47.5530
235.100,77.000,240.300,-47.5050,-0.8440,-2.1920,47.5610
215.100,77.000,240.300,-47.5260,-0.8530,-2.1710,47.5830
175.100,97.000,240.300,-47.5410,-0.8650,-2.1600,47.6010
195.100,97.000,240.300,-47.5930,-0.8730,-2.1630,47.6500
215.100,97.000,240.300,-47.5760,-0.8700,-2.1630,47.6330
235.100,97.000,240.300,-47.5490,-0.8560,-2.1730,47.6060
255.100,97.000,240.300,-47.5360,-0.8450,-2.1810,47.5910
275.100,97.000,240.300,-47.5240,-0.8310,-2.1920,47.5810
295.100,97.000,240.300,-47.5110,-0.8180,-2.2100,47.5680
315.100,97.000,240.300,-47.5040,-0.7950,-2.2190,47.5610
335.100,117.000,240.300,-47.4970,-0.7840,-2.2340,47.5550
315.100,117.000,240.300,-47.4950,-0.7460,-2.2290,47.5510
295.100,117.000,240.300,-47.5090,-0.7500,-2.2240,47.5670
275.100,117.000,240.300,-47.5220,-0.7720,-2.2170,47.5790
255.100,117.000,240.300,-47.5290,-0.7910,-2.2010,47.5830
235.100,117.000,240.300,-47.5320,-0.8130,-2.1950,47.5900
215.100,117.000,240.300,-47.5450,-0.8240,-2.1770,47.6020
195.100,117.000,240.300,-47.5630,-0.8330,-2.1730,47.6180
175.100,137.000,240.300,-47.5800,-0.8540,-2.1670,47.6340
195.100,137.000,240.300,-47.6080,-0.8550,-2.1720,47.6580
215.100,137.000,240.300,-47.5830,-0.8420,-2.1730,47.6400
235.100,137.000,240.300,-47.5620,-0.8280,-2.1750,47.6190
255.100,137.000,240.300,-47.5540,-0.8140,-2.1780,47.6100
275.100,137.000,240.300,-47.5430,-0.7930,-2.1930,47.6010
295.100,137.000,240.300,-47.5400,-0.7570,-2.1910,47.5960
315.100,137.000,240.300,-47.5360,-0.7300,-2.2030,47.5910
335.100,157.000,240.300,-47.5220,-0.7060,-2.2150,47.5790
315.100,157.000,240.300,-47.5080,-0.6590,-2.1750,47.5620
295.100,157.000,240.300,-47.5300,-0.6600,-2.1760,47.5860
275.100,157.000,240.300,-47.5510,-0.6990,-2.1750,47.6060
255.100,157.000,240.300,-47.5510,-0.7370,-2.1680,47.6080
235.100,157.000,240.300,-47.5570,-0.7730,-2.1670,47.6110
215.100,157.000,240.300,-47.5550,-0.8010,-2.1650,47.6110
195.100,157.000,240.300,-47.5620,-0.8190,-2.1720,47.6180
195.100,177.000,240.300,-47.5790,-0.8280,-2.1770,47.6350
215.100,177.000,240.300,-47.5670,-0.8250,-2.1750,47.6220
235.100,177.000,240.300,-47.5560,-0.8120,-2.1650,47.6100
255.100,177.000,240.300,-47.5490,-0.7920,-2.1540,47.6040
275.100,177.000,240.300,-47.5500,-0.7590,-2.1390,47.6030
295.100,177.000,240.300,-47.5480,-0.7140,-2.1270,47.6010
295.100,197.000,240.300,-47.5560,-0.6690,-2.1240,47.6060
275.100,197.000,240.300,-47.5310,-0.6540,-2.0580,47.5820
255.100,197.000,240.300,-47.5400,-0.7110,-2.0820,47.5920
235.100,197.000,240.300,-47.5350,-0.7610,-2.1150,47.5880
195.100,217.000,260.300,-47.5320,-0.7870,-2.1250,47.5840
