# COSI2 B0 scan
# time 2024-05-24 10:59:31.708687
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/cross_100mm_background
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
145.100,127.000,270.300,0.0000,0.0000,0.0000,0.0000
155.630,127.000,270.300,-47.6640,-0.8500,-1.3170,47.6900
166.150,127.000,270.300,-47.6440,-0.8460,-1.3210,47.6710
176.680,127.000,270.300,-47.6280,-0.8380,-1.3190,47.6500
187.210,127.000,270.300,-47.6120,-0.8350,-1.3100,47.6370
197.730,127.000,270.300,-47.6060,-0.8410,-1.3140,47.6320
208.260,127.000,270.300,-47.5900,-0.8470,-1.3050,47.6160
218.780,127.000,270.300,-47.5820,-0.8400,-1.3040,47.6070
229.310,127.000,270.300,-47.5720,-0.8430,-1.3050,47.5970
239.840,127.000,270.300,-47.5750,-0.8390,-1.3020,47.6000
250.360,127.000,270.300,-47.5720,-0.8490,-1.3010,47.5970
260.890,127.000,270.300,-47.5770,-0.8440,-1.3020,47.6000
271.420,127.000,270.300,-47.5770,-0.8430,-1.2950,47.6010
281.940,127.000,270.300,-47.5850,-0.8370,-1.2960,47.6090
292.470,127.000,270.300,-47.5920,-0.8340,-1.2960,47.6180
302.990,127.000,270.300,-47.5990,-0.8340,-1.3010,47.6240
313.520,127.000,270.300,-47.6180,-0.8240,-1.3070,47.6430
324.050,127.000,270.300,-47.6360,-0.8230,-1.3070,47.6600
334.570,127.000,270.300,-47.6510,-0.8180,-1.3140,47.6770
345.100,127.000,270.300,-47.6710,-0.8090,-1.3280,47.6910
245.100,27.000,270.300,-47.6970,-0.8040,-1.3530,47.7190
245.100,37.530,270.300,-47.5190,-0.8730,-1.3270,47.5510
245.100,48.050,270.300,-47.5290,-0.8660,-1.3230,47.5590
245.100,58.580,270.300,-47.5360,-0.8760,-1.3200,47.5610
245.100,69.110,270.300,-47.5500,-0.8650,-1.3180,47.5750
245.100,79.630,270.300,-47.5560,-0.8610,-1.3200,47.5790
245.100,90.160,270.300,-47.5620,-0.8580,-1.3150,47.5880
245.100,100.680,270.300,-47.5660,-0.8550,-1.3150,47.5910
245.100,111.210,270.300,-47.5680,-0.8540,-1.3120,47.5950
245.100,121.740,270.300,-47.5730,-0.8450,-1.3070,47.5990
245.100,132.260,270.300,-47.5770,-0.8420,-1.2980,47.5990
245.100,142.790,270.300,-47.5700,-0.8390,-1.2950,47.5950
245.100,153.320,270.300,-47.5730,-0.8330,-1.2850,47.5980
245.100,163.840,270.300,-47.5610,-0.8420,-1.2820,47.5890
245.100,174.370,270.300,-47.5620,-0.8320,-1.2730,47.5880
245.100,184.890,270.300,-47.5510,-0.8370,-1.2620,47.5750
245.100,195.420,270.300,-47.5410,-0.8330,-1.2490,47.5650
245.100,205.950,270.300,-47.5260,-0.8340,-1.2440,47.5500
245.100,216.470,270.300,-47.5130,-0.8390,-1.2390,47.5400
245.100,227.000,270.300,-47.5030,-0.8450,-1.2320,47.5260
245.100,127.000,170.300,-47.4840,-0.8440,-1.2220,47.5080
245.100,127.000,180.830,-47.5100,-0.8680,-1.2490,47.5350
245.100,127.000,191.350,-47.5150,-0.8690,-1.2550,47.5390
245.100,127.000,201.880,-47.5260,-0.8680,-1.2640,47.5510
245.100,127.000,212.410,-47.5370,-0.8620,-1.2650,47.5610
245.100,127.000,222.930,-47.5410,-0.8530,-1.2750,47.5660
245.100,127.000,233.460,-47.5440,-0.8550,-1.2770,47.5720
245.100,127.000,243.980,-47.5550,-0.8520,-1.2860,47.5790
245.100,127.000,254.510,-47.5610,-0.8430,-1.2920,47.5870
245.100,127.000,265.040,-47.5610,-0.8400,-1.2900,47.5870
245.100,127.000,275.560,-47.5720,-0.8390,-1.3010,47.5970
245.100,127.000,286.090,-47.5690,-0.8380,-1.3110,47.5950
245.100,127.000,296.620,-47.5690,-0.8310,-1.3110,47.5970
245.100,127.000,307.140,-47.5740,-0.8300,-1.3220,47.6020
245.100,127.000,317.670,-47.5800,-0.8300,-1.3300,47.6080
245.100,127.000,328.190,-47.5790,-0.8240,-1.3440,47.6020
245.100,127.000,338.720,-47.5770,-0.8240,-1.3490,47.6020
245.100,127.000,349.250,-47.5750,-0.8190,-1.3720,47.6020
245.100,127.000,359.770,-47.5690,-0.8240,-1.3810,47.5960
245.100,127.000,370.300,-47.5680,-0.8350,-1.3980,47.5990
