# COSI2 B0 scan
# time 2024-05-24 11:10:42.478732
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/cross_100mm_x_gradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
145.100,127.000,270.300,0.0000,0.0000,0.0000,0.0000
155.630,127.000,270.300,-47.6520,-0.8380,-1.3710,47.6830
166.150,127.000,270.300,-47.6370,-0.8290,-1.3600,47.6630
176.680,127.000,270.300,-47.6240,-0.8310,-1.3500,47.6500
187.210,127.000,270.300,-47.6050,-0.8270,-1.3450,47.6320
197.730,127.000,270.300,-47.5960,-0.8300,-1.3340,47.6220
208.260,127.000,270.300,-47.5820,-0.8250,-1.3250,47.6060
218.780,127.000,270.300,-47.5750,-0.8310,-1.3150,47.6040
229.310,127.000,270.300,-47.5760,-0.8390,-1.3040,47.5990
239.840,127.000,270.300,-47.5690,-0.8310,-1.2960,47.5930
250.360,127.000,270.300,-47.5700,-0.8330,-1.2910,47.5950
260.890,127.000,270.300,-47.5730,-0.8320,-1.2860,47.5980
271.420,127.000,270.300,-47.5750,-0.8290,-1.2750,47.5990
281.940,127.000,270.300,-47.5790,-0.8240,-1.2650,47.6030
292.470,127.000,270.300,-47.5940,-0.8210,-1.2570,47.6170
302.990,127.000,270.300,-47.6090,-0.8220,-1.2530,47.6330
313.520,127.000,270.300,-47.6220,-0.8160,-1.2540,47.6450
324.050,127.000,270.300,-47.6400,-0.8090,-1.2530,47.6630
334.570,127.000,270.300,-47.6550,-0.8020,-1.2560,47.6820
345.100,127.000,270.300,-47.6780,-0.7950,-1.2670,47.7060
245.100,27.000,270.300,-47.7080,-0.7940,-1.2800,47.7320
245.100,37.530,270.300,-47.5790,-0.8700,-1.3230,47.6080
245.100,48.050,270.300,-47.5840,-0.8620,-1.3130,47.6120
245.100,58.580,270.300,-47.5890,-0.8630,-1.3100,47.6160
245.100,69.110,270.300,-47.5890,-0.8560,-1.3030,47.6140
245.100,79.630,270.300,-47.5910,-0.8540,-1.3000,47.6170
245.100,90.160,270.300,-47.5920,-0.8520,-1.2940,47.6170
245.100,100.680,270.300,-47.5840,-0.8450,-1.3020,47.6100
245.100,111.210,270.300,-47.5900,-0.8430,-1.2970,47.6150
245.100,121.740,270.300,-47.5790,-0.8470,-1.2870,47.6040
245.100,132.260,270.300,-47.5690,-0.8410,-1.2850,47.5910
245.100,142.790,270.300,-47.5650,-0.8300,-1.2670,47.5910
245.100,153.320,270.300,-47.5590,-0.8270,-1.2710,47.5840
245.100,163.840,270.300,-47.5490,-0.8290,-1.2570,47.5700
245.100,174.370,270.300,-47.5330,-0.8330,-1.2460,47.5500
245.100,184.890,270.300,-47.5210,-0.8250,-1.2400,47.5430
245.100,195.420,270.300,-47.5010,-0.8280,-1.2270,47.5230
245.100,205.950,270.300,-47.4900,-0.8300,-1.2190,47.5100
245.100,216.470,270.300,-47.4680,-0.8340,-1.2090,47.4910
245.100,227.000,270.300,-47.4440,-0.8410,-1.2070,47.4670
245.100,127.000,170.300,-47.4300,-0.8390,-1.1930,47.4530
245.100,127.000,180.830,-47.5030,-0.8600,-1.2350,47.5240
245.100,127.000,191.350,-47.5110,-0.8640,-1.2390,47.5350
245.100,127.000,201.880,-47.5180,-0.8560,-1.2490,47.5430
245.100,127.000,212.410,-47.5270,-0.8600,-1.2490,47.5510
245.100,127.000,222.930,-47.5340,-0.8500,-1.2530,47.5560
245.100,127.000,233.460,-47.5450,-0.8460,-1.2600,47.5720
245.100,127.000,243.980,-47.5540,-0.8460,-1.2610,47.5740
245.100,127.000,254.510,-47.5550,-0.8460,-1.2700,47.5790
245.100,127.000,265.040,-47.5640,-0.8340,-1.2780,47.5880
245.100,127.000,275.560,-47.5660,-0.8400,-1.2800,47.5910
245.100,127.000,286.090,-47.5680,-0.8290,-1.2910,47.5930
245.100,127.000,296.620,-47.5760,-0.8290,-1.2970,47.6010
245.100,127.000,307.140,-47.5690,-0.8250,-1.3020,47.5940
245.100,127.000,317.670,-47.5770,-0.8240,-1.3180,47.6000
245.100,127.000,328.190,-47.5750,-0.8200,-1.3190,47.6030
245.100,127.000,338.720,-47.5700,-0.8200,-1.3350,47.5970
245.100,127.000,349.250,-47.5760,-0.8220,-1.3550,47.6020
245.100,127.000,359.770,-47.5740,-0.8180,-1.3680,47.6010
245.100,127.000,370.300,-47.5760,-0.8240,-1.3810,47.6000
