# COSI2 B0 scan
# time 2024-05-24 11:44:08.399900
# MAGNET CENTER IN LAB: x 245.000 mm, y 127.000 mm, z 270.000 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/cross_100mm_y_gradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
145.000,127.000,270.000,0.0000,0.0000,0.0000,0.0000
155.530,127.000,270.000,-47.6490,-1.0940,-1.2970,47.6810
166.050,127.000,270.000,-47.6320,-1.0540,-1.2970,47.6610
176.580,127.000,270.000,-47.6160,-1.0240,-1.2990,47.6460
187.110,127.000,270.000,-47.6060,-0.9830,-1.2950,47.6330
197.630,127.000,270.000,-47.5930,-0.9520,-1.2950,47.6190
208.160,127.000,270.000,-47.5800,-0.9160,-1.2910,47.6090
218.680,127.000,270.000,-47.5760,-0.8900,-1.2960,47.6040
229.210,127.000,270.000,-47.5670,-0.8530,-1.2930,47.5960
239.740,127.000,270.000,-47.5700,-0.8200,-1.2880,47.5980
250.260,127.000,270.000,-47.5730,-0.7850,-1.2840,47.5960
260.790,127.000,270.000,-47.5780,-0.7550,-1.2940,47.6020
271.320,127.000,270.000,-47.5830,-0.7220,-1.2920,47.6090
281.840,127.000,270.000,-47.5940,-0.6830,-1.2980,47.6170
292.370,127.000,270.000,-47.6060,-0.6430,-1.2940,47.6270
302.890,127.000,270.000,-47.6140,-0.6020,-1.2950,47.6320
313.420,127.000,270.000,-47.6280,-0.5660,-1.3010,47.6500
323.950,127.000,270.000,-47.6480,-0.5210,-1.3130,47.6680
334.470,127.000,270.000,-47.6660,-0.4770,-1.3160,47.6860
345.000,127.000,270.000,-47.6900,-0.4330,-1.3390,47.7120
245.000,27.000,270.000,-47.7150,-0.3950,-1.3610,47.7370
245.000,37.530,270.000,-47.5310,-0.7950,-1.2890,47.5550
245.000,48.050,270.000,-47.5390,-0.7760,-1.2680,47.5630
245.000,58.580,270.000,-47.5470,-0.7700,-1.2670,47.5690
245.000,69.110,270.000,-47.5550,-0.7630,-1.2680,47.5790
245.000,79.630,270.000,-47.5620,-0.7580,-1.2710,47.5890
245.000,90.160,270.000,-47.5630,-0.7510,-1.2590,47.5870
245.000,100.680,270.000,-47.5730,-0.7450,-1.2640,47.5920
245.000,111.210,270.000,-47.5780,-0.7430,-1.2550,47.6000
245.000,121.740,270.000,-47.5750,-0.7410,-1.2520,47.5940
245.000,132.260,270.000,-47.5740,-0.7330,-1.2380,47.6000
245.000,142.790,270.000,-47.5820,-0.7310,-1.2360,47.5960
245.000,153.320,270.000,-47.5790,-0.7380,-1.2230,47.5970
245.000,163.840,270.000,-47.5710,-0.7340,-1.2070,47.5940
245.000,174.370,270.000,-47.5710,-0.7300,-1.2050,47.5880
245.000,184.890,270.000,-47.5630,-0.7320,-1.1860,47.5820
245.000,195.420,270.000,-47.5480,-0.7370,-1.1780,47.5680
245.000,205.950,270.000,-47.5390,-0.7470,-1.1610,47.5590
245.000,216.470,270.000,-47.5260,-0.7490,-1.1510,47.5460
245.000,227.000,270.000,-47.5120,-0.7520,-1.1480,47.5320
245.000,127.000,170.000,-47.4940,-0.7680,-1.1340,47.5140
245.000,127.000,180.530,-47.1880,-0.7320,-1.1920,47.2060
245.000,127.000,191.050,-47.2300,-0.7370,-1.1930,47.2510
245.000,127.000,201.580,-47.2760,-0.7350,-1.1980,47.2960
245.000,127.000,212.110,-47.3200,-0.7400,-1.2040,47.3410
245.000,127.000,222.630,-47.3590,-0.7390,-1.2060,47.3790
245.000,127.000,233.160,-47.3980,-0.7380,-1.2160,47.4190
245.000,127.000,243.680,-47.4380,-0.7290,-1.2220,47.4630
245.000,127.000,254.210,-47.4820,-0.7330,-1.2240,47.5050
245.000,127.000,264.740,-47.5210,-0.7350,-1.2380,47.5390
245.000,127.000,275.260,-47.5590,-0.7380,-1.2370,47.5830
245.000,127.000,285.790,-47.5990,-0.7350,-1.2460,47.6190
245.000,127.000,296.320,-47.6350,-0.7310,-1.2560,47.6560
245.000,127.000,306.840,-47.6700,-0.7320,-1.2550,47.6910
245.000,127.000,317.370,-47.7030,-0.7280,-1.2680,47.7240
245.000,127.000,327.890,-47.7430,-0.7300,-1.2790,47.7640
245.000,127.000,338.420,-47.7760,-0.7260,-1.2970,47.7980
245.000,127.000,348.950,-47.8180,-0.7270,-1.3060,47.8390
245.000,127.000,359.470,-47.8490,-0.7270,-1.3240,47.8710
245.000,127.000,370.000,-47.8860,-0.7280,-1.3510,47.9110
