# COSI2 B0 scan
# time 2024-05-24 15:50:43.557655
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/guick_ball_magnet_inner_wall_2
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.530,84.140,198.870,-47.4810,-0.8070,-1.2200,47.5040
287.960,84.140,198.870,-47.4870,-0.8090,-1.2250,47.5090
259.390,84.140,198.870,-47.4730,-0.8190,-1.2120,47.4950
230.810,84.140,198.870,-47.4720,-0.8410,-1.2110,47.4950
202.240,112.710,198.870,-47.4640,-0.8730,-1.1910,47.4880
230.810,112.710,198.870,-47.4730,-0.8950,-1.1740,47.4930
259.390,112.710,198.870,-47.5000,-0.8990,-1.1790,47.5240
287.960,112.710,198.870,-47.4860,-0.8860,-1.1810,47.5090
316.530,141.290,198.870,-47.4790,-0.8610,-1.1880,47.5010
287.960,141.290,198.870,-47.4790,-0.8350,-1.1910,47.5000
259.390,141.290,198.870,-47.5080,-0.8040,-1.1790,47.5260
230.810,141.290,198.870,-47.4900,-0.8250,-1.1700,47.5150
202.240,169.860,198.870,-47.4810,-0.8420,-1.1770,47.5040
230.810,169.860,198.870,-47.4820,-0.8550,-1.1820,47.5050
259.390,169.860,198.870,-47.4980,-0.8570,-1.1980,47.5210
287.960,169.860,198.870,-47.4680,-0.8550,-1.1890,47.4900
202.240,227.000,227.440,-47.4620,-0.8320,-1.1640,47.4840
230.810,227.000,227.440,-47.4380,-0.8290,-1.2040,47.4580
259.390,227.000,227.440,-47.4390,-0.8390,-1.2090,47.4640
287.960,227.000,227.440,-47.4300,-0.8260,-1.1890,47.4520
345.100,198.430,227.440,-47.4180,-0.8110,-1.1660,47.4410
316.530,198.430,227.440,-47.4320,-0.7980,-1.1290,47.4530
287.960,198.430,227.440,-47.5920,-0.7790,-0.9910,47.5960
259.390,198.430,227.440,-47.5230,-0.7780,-1.0540,47.5450
230.810,198.430,227.440,-47.4740,-0.7960,-1.1240,47.4970
202.240,198.430,227.440,-47.4550,-0.8130,-1.1570,47.4750
173.670,169.860,227.440,-47.4490,-0.8170,-1.1890,47.4770
202.240,169.860,227.440,-47.4740,-0.8420,-1.2280,47.4940
230.810,169.860,227.440,-47.5520,-0.8430,-1.2330,47.5700
259.390,169.860,227.440,-47.5180,-0.8480,-1.2300,47.5390
287.960,169.860,227.440,-47.4860,-0.8390,-1.2060,47.5090
316.530,169.860,227.440,-47.4870,-0.8260,-1.1850,47.5090
345.100,141.290,227.440,-47.4940,-0.8120,-1.1570,47.5160
316.530,141.290,227.440,-47.5360,-0.7980,-1.1370,47.5540
287.960,141.290,227.440,-47.5910,-0.7740,-1.1960,47.6120
259.390,141.290,227.440,-47.5530,-0.7880,-1.1930,47.5780
230.810,141.290,227.440,-47.5210,-0.8100,-1.1870,47.5430
202.240,141.290,227.440,-47.5010,-0.8340,-1.2000,47.5240
173.670,112.710,227.440,-47.5010,-0.8420,-1.2110,47.5200
202.240,112.710,227.440,-47.5160,-0.8600,-1.2170,47.5350
230.810,112.710,227.440,-47.5300,-0.8910,-1.2260,47.5560
259.390,112.710,227.440,-47.5160,-0.8890,-1.2280,47.5430
287.960,112.710,227.440,-47.5060,-0.8770,-1.2210,47.5300
316.530,112.710,227.440,-47.5040,-0.8600,-1.2200,47.5270
316.530,84.140,227.440,-47.5130,-0.8330,-1.2190,47.5360
287.960,84.140,227.440,-47.5340,-0.8060,-1.2270,47.5590
259.390,84.140,227.440,-47.5310,-0.8040,-1.2490,47.5540
230.810,84.140,227.440,-47.5070,-0.8250,-1.2410,47.5320
202.240,55.570,256.010,-47.4960,-0.8650,-1.2260,47.5200
230.810,55.570,256.010,-47.5030,-0.8880,-1.2230,47.5270
259.390,55.570,256.010,-47.5500,-0.9950,-1.2790,47.5770
287.960,55.570,256.010,-47.5620,-0.9530,-1.2670,47.5930
345.100,84.140,256.010,-47.5450,-0.9000,-1.2610,47.5710
316.530,84.140,256.010,-47.5380,-0.8610,-1.2550,47.5640
287.960,84.140,256.010,-47.5850,-0.7930,-1.2870,47.6090
259.390,84.140,256.010,-47.5610,-0.8020,-1.2740,47.5840
230.810,84.140,256.010,-47.5510,-0.8280,-1.2620,47.5710
202.240,84.140,256.010,-47.5380,-0.8620,-1.2600,47.5640
173.670,112.710,256.010,-47.5450,-0.8910,-1.2690,47.5700
202.240,112.710,256.010,-47.5420,-0.9280,-1.2860,47.5690
230.810,112.710,256.010,-47.5220,-0.8900,-1.2920,47.5480
259.390,112.710,256.010,-47.5270,-0.8710,-1.2800,47.5550
287.960,112.710,256.010,-47.5250,-0.8560,-1.2620,47.5470
316.530,112.710,256.010,-47.5360,-0.8450,-1.2470,47.5620
345.100,141.290,256.010,-47.5430,-0.8220,-1.2410,47.5660
316.530,141.290,256.010,-47.5730,-0.7990,-1.2490,47.5940
287.960,141.290,256.010,-47.6280,-0.7710,-1.2320,47.6500
259.390,141.290,256.010,-47.5980,-0.7820,-1.2090,47.6190
230.810,141.290,256.010,-47.5500,-0.8040,-1.2010,47.5760
202.240,141.290,256.010,-47.5220,-0.8180,-1.2210,47.5450
173.670,169.860,256.010,-47.5240,-0.8270,-1.2310,47.5480
202.240,169.860,256.010,-47.5180,-0.8310,-1.2500,47.5420
230.810,169.860,256.010,-47.5450,-0.8180,-1.2580,47.5680
259.390,169.860,256.010,-47.5190,-0.8070,-1.2460,47.5410
287.960,169.860,256.010,-47.5040,-0.8150,-1.2240,47.5260
316.530,169.860,256.010,-47.4990,-0.8110,-1.1970,47.5200
316.530,198.430,256.010,-47.5210,-0.8030,-1.1650,47.5420
287.960,198.430,256.010,-47.5700,-0.7970,-1.1540,47.5870
259.390,198.430,256.010,-47.5520,-0.7940,-1.0890,47.5710
230.810,198.430,256.010,-47.4950,-0.8020,-1.1160,47.5150
202.240,227.000,284.590,-47.4730,-0.8060,-1.1580,47.4980
230.810,227.000,284.590,-47.4710,-0.8060,-1.1980,47.4910
259.390,227.000,284.590,-47.4620,-0.7890,-1.2230,47.4840
287.960,227.000,284.590,-47.4420,-0.7930,-1.2040,47.4640
345.100,198.430,284.590,-47.4350,-0.8110,-1.1580,47.4510
316.530,198.430,284.590,-47.4540,-0.8220,-1.1200,47.4750
287.960,198.430,284.590,-47.6510,-0.8090,-0.9580,47.6550
259.390,198.430,284.590,-47.5760,-0.8100,-1.0400,47.5940
230.810,198.430,284.590,-47.5120,-0.8090,-1.1110,47.5330
202.240,198.430,284.590,-47.4800,-0.8060,-1.1640,47.5070
173.670,169.860,284.590,-47.4790,-0.7940,-1.2040,47.4990
202.240,169.860,284.590,-47.4860,-0.7810,-1.2400,47.5090
230.810,169.860,284.590,-47.5400,-0.7790,-1.2760,47.5650
259.390,169.860,284.590,-47.5200,-0.7840,-1.2670,47.5430
287.960,169.860,284.590,-47.5100,-0.7900,-1.2390,47.5310
316.530,169.860,284.590,-47.5140,-0.8030,-1.2160,47.5350
345.100,141.290,284.590,-47.5350,-0.8020,-1.1830,47.5570
316.530,141.290,284.590,-47.5860,-0.7960,-1.1550,47.6020
287.960,141.290,284.590,-47.6570,-0.7860,-1.2200,47.6790
259.390,141.290,284.590,-47.6150,-0.7940,-1.2120,47.6370
230.810,141.290,284.590,-47.5750,-0.8020,-1.2200,47.5980
202.240,141.290,284.590,-47.5450,-0.8140,-1.2460,47.5700
173.670,112.710,284.590,-47.5290,-0.8070,-1.2640,47.5550
202.240,112.710,284.590,-47.5310,-0.8050,-1.2880,47.5550
230.810,112.710,284.590,-47.5340,-0.8330,-1.3440,47.5600
259.390,112.710,284.590,-47.5460,-0.8440,-1.3370,47.5720
287.960,112.710,284.590,-47.5480,-0.8360,-1.3060,47.5700
316.530,112.710,284.590,-47.5550,-0.8310,-1.2810,47.5780
316.530,84.140,284.590,-47.5650,-0.8210,-1.2690,47.5860
287.960,84.140,284.590,-47.5960,-0.8010,-1.2640,47.6170
259.390,84.140,284.590,-47.5950,-0.8110,-1.2940,47.6190
230.810,84.140,284.590,-47.5750,-0.8280,-1.2870,47.6000
202.240,55.570,313.160,-47.5660,-0.8480,-1.2900,47.5930
230.810,55.570,313.160,-47.5790,-0.8680,-1.3100,47.6050
259.390,55.570,313.160,-47.7710,-0.9150,-1.4660,47.7830
287.960,55.570,313.160,-47.7000,-0.8750,-1.3810,47.7280
345.100,84.140,313.160,-47.6230,-0.8700,-1.3250,47.6490
316.530,84.140,313.160,-47.5880,-0.8680,-1.3260,47.6150
287.960,84.140,313.160,-47.6750,-0.7860,-1.3160,47.6940
259.390,84.140,313.160,-47.6270,-0.8060,-1.3210,47.6590
230.810,84.140,313.160,-47.5940,-0.8320,-1.3150,47.6240
202.240,84.140,313.160,-47.5890,-0.8440,-1.3250,47.6150
173.670,112.710,313.160,-47.5990,-0.8390,-1.3550,47.6260
202.240,112.710,313.160,-47.6210,-0.8440,-1.4360,47.6510
230.810,112.710,313.160,-47.5330,-0.7860,-1.4460,47.5640
259.390,112.710,313.160,-47.5440,-0.8010,-1.4010,47.5680
287.960,112.710,313.160,-47.5560,-0.8070,-1.3570,47.5800
316.530,112.710,313.160,-47.5700,-0.8150,-1.3180,47.5920
345.100,141.290,313.160,-47.5800,-0.8090,-1.2980,47.6050
316.530,141.290,313.160,-47.6160,-0.8010,-1.2860,47.6400
287.960,141.290,313.160,-47.6690,-0.7810,-1.2460,47.6910
259.390,141.290,313.160,-47.6300,-0.7890,-1.2270,47.6590
230.810,141.290,313.160,-47.5830,-0.7920,-1.2410,47.6100
202.240,141.290,313.160,-47.5510,-0.7950,-1.2620,47.5770
173.670,169.860,313.160,-47.5300,-0.7820,-1.2960,47.5570
202.240,169.860,313.160,-47.5220,-0.7660,-1.3260,47.5460
230.810,169.860,313.160,-47.5340,-0.7250,-1.3110,47.5560
259.390,169.860,313.160,-47.5080,-0.7450,-1.2900,47.5360
287.960,169.860,313.160,-47.4980,-0.7660,-1.2680,47.5200
316.530,169.860,313.160,-47.5170,-0.7800,-1.2310,47.5410
316.530,198.430,313.160,-47.5370,-0.7820,-1.1900,47.5580
287.960,198.430,313.160,-47.5860,-0.7830,-1.1540,47.6070
259.390,198.430,313.160,-47.5750,-0.7920,-1.0610,47.5980
230.810,198.430,313.160,-47.5050,-0.7980,-1.1080,47.5290
316.530,198.430,341.730,-47.4760,-0.7850,-1.1580,47.4970
287.960,198.430,341.730,-47.4600,-0.7620,-1.2020,47.4820
259.390,198.430,341.730,-47.5660,-0.7520,-1.0260,47.5770
230.810,198.430,341.730,-47.5130,-0.7600,-1.0710,47.5330
202.240,169.860,341.730,-47.4660,-0.7620,-1.1530,47.4860
230.810,169.860,341.730,-47.4540,-0.7380,-1.2150,47.4760
259.390,169.860,341.730,-47.4820,-0.7080,-1.2990,47.5030
287.960,169.860,341.730,-47.4860,-0.7280,-1.2870,47.5090
316.530,141.290,341.730,-47.5110,-0.7490,-1.2510,47.5320
287.960,141.290,341.730,-47.5540,-0.7550,-1.2040,47.5710
259.390,141.290,341.730,-47.6160,-0.7630,-1.2440,47.6380
230.810,141.290,341.730,-47.5930,-0.7750,-1.2740,47.6190
202.240,112.710,341.730,-47.5550,-0.7790,-1.2960,47.5830
230.810,112.710,341.730,-47.5150,-0.7600,-1.3230,47.5440
259.390,112.710,341.730,-47.5240,-0.7430,-1.4070,47.5510
287.960,112.710,341.730,-47.5420,-0.7700,-1.3890,47.5690
