# COSI2 B0 scan
# time 2024-05-24 12:19:52.900349
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/line_x_200mm_background
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
145.100,127.000,270.300,0.0000,0.0000,0.0000,0.0000
155.630,127.000,270.300,-47.6380,-0.8180,-1.2510,47.6600
166.150,127.000,270.300,-47.6200,-0.8140,-1.2530,47.6400
176.680,127.000,270.300,-47.6020,-0.8080,-1.2520,47.6270
187.210,127.000,270.300,-47.5820,-0.8150,-1.2440,47.6070
197.730,127.000,270.300,-47.5770,-0.8090,-1.2490,47.5980
208.260,127.000,270.300,-47.5660,-0.8140,-1.2480,47.5890
218.780,127.000,270.300,-47.5610,-0.8110,-1.2480,47.5860
229.310,127.000,270.300,-47.5510,-0.8180,-1.2370,47.5770
239.840,127.000,270.300,-47.5450,-0.8160,-1.2390,47.5670
250.360,127.000,270.300,-47.5510,-0.8130,-1.2380,47.5780
260.890,127.000,270.300,-47.5550,-0.8170,-1.2330,47.5810
271.420,127.000,270.300,-47.5570,-0.8130,-1.2330,47.5790
281.940,127.000,270.300,-47.5670,-0.8100,-1.2340,47.5920
292.470,127.000,270.300,-47.5830,-0.8100,-1.2370,47.6040
302.990,127.000,270.300,-47.5850,-0.8060,-1.2400,47.6100
313.520,127.000,270.300,-47.6030,-0.7970,-1.2440,47.6280
324.050,127.000,270.300,-47.6140,-0.7890,-1.2560,47.6380
334.570,127.000,270.300,-47.6370,-0.7860,-1.2560,47.6600
345.100,127.000,270.300,-47.6600,-0.7860,-1.2730,47.6860
