# COSI2 B0 scan
# time 2024-05-24 12:42:17.331059
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/line_x_200mm_zgradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
145.100,127.000,270.300,0.0000,0.0000,0.0000,0.0000
155.630,127.000,270.300,-47.9490,-0.8090,-1.2590,47.9740
166.150,127.000,270.300,-47.8970,-0.7970,-1.2560,47.9210
176.680,127.000,270.300,-47.8480,-0.7960,-1.2590,47.8710
187.210,127.000,270.300,-47.7990,-0.7920,-1.2570,47.8220
197.730,127.000,270.300,-47.7520,-0.7940,-1.2480,47.7750
208.260,127.000,270.300,-47.7040,-0.7930,-1.2500,47.7280
218.780,127.000,270.300,-47.6720,-0.7930,-1.2410,47.6930
229.310,127.000,270.300,-47.6300,-0.7930,-1.2470,47.6510
239.840,127.000,270.300,-47.5910,-0.8010,-1.2370,47.6130
250.360,127.000,270.300,-47.5640,-0.7940,-1.2330,47.5830
260.890,127.000,270.300,-47.5320,-0.7940,-1.2340,47.5540
271.420,127.000,270.300,-47.5040,-0.7950,-1.2280,47.5270
281.940,127.000,270.300,-47.4770,-0.7930,-1.2250,47.5000
292.470,127.000,270.300,-47.4570,-0.7870,-1.2260,47.4790
302.990,127.000,270.300,-47.4300,-0.7910,-1.2260,47.4520
313.520,127.000,270.300,-47.4150,-0.7820,-1.2300,47.4370
324.050,127.000,270.300,-47.4010,-0.7790,-1.2320,47.4230
334.570,127.000,270.300,-47.3830,-0.7730,-1.2350,47.4060
345.100,127.000,270.300,-47.3650,-0.7700,-1.2410,47.3880
