# COSI2 B0 scan
# time 2024-05-24 12:25:50.199457
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/line_y_200mm_background
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
245.100,27.000,270.300,0.0000,0.0000,0.0000,0.0000
245.100,37.530,270.300,-47.4970,-0.8480,-1.2570,47.5210
245.100,48.050,270.300,-47.5140,-0.8450,-1.2550,47.5360
245.100,58.580,270.300,-47.5230,-0.8420,-1.2540,47.5500
245.100,69.110,270.300,-47.5320,-0.8440,-1.2550,47.5570
245.100,79.630,270.300,-47.5310,-0.8360,-1.2550,47.5540
245.100,90.160,270.300,-47.5440,-0.8340,-1.2540,47.5680
245.100,100.680,270.300,-47.5500,-0.8250,-1.2500,47.5720
245.100,111.210,270.300,-47.5430,-0.8300,-1.2520,47.5660
245.100,121.740,270.300,-47.5510,-0.8190,-1.2490,47.5740
245.100,132.260,270.300,-47.5520,-0.8130,-1.2460,47.5790
245.100,142.790,270.300,-47.5530,-0.8170,-1.2380,47.5760
245.100,153.320,270.300,-47.5500,-0.8110,-1.2340,47.5750
245.100,163.840,270.300,-47.5450,-0.8050,-1.2250,47.5680
245.100,174.370,270.300,-47.5330,-0.8090,-1.2220,47.5550
245.100,184.890,270.300,-47.5290,-0.8040,-1.2110,47.5510
245.100,195.420,270.300,-47.5200,-0.8120,-1.1960,47.5400
245.100,205.950,270.300,-47.5090,-0.8070,-1.2040,47.5300
245.100,216.470,270.300,-47.4920,-0.8020,-1.1920,47.5140
245.100,227.000,270.300,-47.4780,-0.8130,-1.1870,47.5000
