# COSI2 B0 scan
# time 2024-05-24 12:34:53.811765
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/line_y_200mm_xgradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
245.100,27.000,270.300,0.0000,0.0000,0.0000,0.0000
245.100,37.530,270.300,-47.7170,-0.8540,-1.2490,47.7410
245.100,48.050,270.300,-47.7200,-0.8510,-1.2500,47.7440
245.100,58.580,270.300,-47.7120,-0.8480,-1.2440,47.7350
245.100,69.110,270.300,-47.6950,-0.8430,-1.2450,47.7200
245.100,79.630,270.300,-47.6760,-0.8370,-1.2470,47.7020
245.100,90.160,270.300,-47.6560,-0.8280,-1.2400,47.6770
245.100,100.680,270.300,-47.6340,-0.8280,-1.2380,47.6580
245.100,111.210,270.300,-47.6120,-0.8240,-1.2350,47.6370
245.100,121.740,270.300,-47.5890,-0.8180,-1.2320,47.6120
245.100,132.260,270.300,-47.5620,-0.8140,-1.2220,47.5840
245.100,142.790,270.300,-47.5320,-0.8090,-1.2190,47.5530
245.100,153.320,270.300,-47.5030,-0.8090,-1.2140,47.5260
245.100,163.840,270.300,-47.4710,-0.8000,-1.2090,47.4920
245.100,174.370,270.300,-47.4360,-0.8080,-1.2030,47.4580
245.100,184.890,270.300,-47.4100,-0.8000,-1.1900,47.4320
245.100,195.420,270.300,-47.3670,-0.8000,-1.1850,47.3890
245.100,205.950,270.300,-47.3370,-0.7930,-1.1760,47.3560
245.100,216.470,270.300,-47.3010,-0.7970,-1.1780,47.3210
245.100,227.000,270.300,-47.2670,-0.8050,-1.1740,47.2870
