# COSI2 B0 scan
# time 2024-05-24 12:30:02.155917
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/line_z_200mm_background
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
245.100,127.000,170.300,0.0000,0.0000,0.0000,0.0000
245.100,127.000,180.830,-47.4830,-0.8490,-1.1840,47.5060
245.100,127.000,191.350,-47.4970,-0.8470,-1.1860,47.5190
245.100,127.000,201.880,-47.5060,-0.8410,-1.1950,47.5280
245.100,127.000,212.410,-47.5160,-0.8380,-1.2040,47.5400
245.100,127.000,222.930,-47.5210,-0.8320,-1.2110,47.5460
245.100,127.000,233.460,-47.5270,-0.8300,-1.2080,47.5500
245.100,127.000,243.980,-47.5320,-0.8290,-1.2120,47.5550
245.100,127.000,254.510,-47.5400,-0.8270,-1.2210,47.5620
245.100,127.000,265.040,-47.5410,-0.8180,-1.2310,47.5640
245.100,127.000,275.560,-47.5580,-0.8180,-1.2340,47.5810
245.100,127.000,286.090,-47.5520,-0.8170,-1.2420,47.5770
245.100,127.000,296.620,-47.5490,-0.8080,-1.2540,47.5710
245.100,127.000,307.140,-47.5520,-0.8080,-1.2580,47.5750
245.100,127.000,317.670,-47.5580,-0.8040,-1.2660,47.5790
245.100,127.000,328.190,-47.5520,-0.7990,-1.2780,47.5730
245.100,127.000,338.720,-47.5510,-0.7990,-1.2860,47.5740
245.100,127.000,349.250,-47.5480,-0.7990,-1.3050,47.5720
245.100,127.000,359.770,-47.5390,-0.7950,-1.3140,47.5640
245.100,127.000,370.300,-47.5380,-0.8010,-1.3340,47.5630
