# COSI2 B0 scan
# time 2024-05-24 12:38:27.461668
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/line_z_200mm_ygradient
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
245.100,127.000,170.300,0.0000,0.0000,0.0000,0.0000
245.100,127.000,180.830,-47.1650,-0.8280,-1.1760,47.1870
245.100,127.000,191.350,-47.2170,-0.8290,-1.1870,47.2400
245.100,127.000,201.880,-47.2630,-0.8290,-1.1880,47.2840
245.100,127.000,212.410,-47.3040,-0.8260,-1.1950,47.3260
245.100,127.000,222.930,-47.3440,-0.8180,-1.2080,47.3660
245.100,127.000,233.460,-47.3840,-0.8170,-1.2080,47.4100
245.100,127.000,243.980,-47.4290,-0.8240,-1.2190,47.4490
245.100,127.000,254.510,-47.4650,-0.8150,-1.2250,47.4910
245.100,127.000,265.040,-47.5060,-0.8080,-1.2320,47.5290
245.100,127.000,275.560,-47.5400,-0.8060,-1.2360,47.5650
245.100,127.000,286.090,-47.5800,-0.8020,-1.2450,47.6000
245.100,127.000,296.620,-47.6150,-0.8030,-1.2530,47.6360
245.100,127.000,307.140,-47.6510,-0.8010,-1.2620,47.6740
245.100,127.000,317.670,-47.6810,-0.8030,-1.2710,47.7060
245.100,127.000,328.190,-47.7200,-0.7990,-1.2830,47.7380
245.100,127.000,338.720,-47.7500,-0.7980,-1.2930,47.7730
245.100,127.000,349.250,-47.7760,-0.7940,-1.3110,47.8020
245.100,127.000,359.770,-47.8060,-0.8050,-1.3260,47.8290
245.100,127.000,370.300,-47.8430,-0.8050,-1.3450,47.8660
