# COSI2 B0 scan
# time 2024-05-24 15:31:03.700436
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_magnet_inner_wall_1
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.530,84.140,198.870,-47.4810,-0.8140,-1.2270,47.5040
287.960,84.140,198.870,-47.4840,-0.8220,-1.2270,47.5090
259.390,84.140,198.870,-47.4830,-0.8250,-1.2170,47.5040
230.810,84.140,198.870,-47.4690,-0.8520,-1.2110,47.4920
202.240,112.710,198.870,-47.4650,-0.8720,-1.1880,47.4870
230.810,112.710,198.870,-47.4760,-0.9030,-1.1720,47.4990
259.390,112.710,198.870,-47.5070,-0.9010,-1.1810,47.5290
287.960,112.710,198.870,-47.4860,-0.8870,-1.1880,47.5110
316.530,141.290,198.870,-47.4830,-0.8620,-1.1870,47.5050
287.960,141.290,198.870,-47.4830,-0.8460,-1.1990,47.5060
259.390,141.290,198.870,-47.5030,-0.8150,-1.1860,47.5260
230.810,141.290,198.870,-47.4890,-0.8250,-1.1720,47.5100
202.240,169.860,198.870,-47.4810,-0.8410,-1.1780,47.5040
230.810,169.860,198.870,-47.4820,-0.8580,-1.1860,47.4990
259.390,169.860,198.870,-47.5040,-0.8680,-1.2010,47.5240
287.960,169.860,198.870,-47.4800,-0.8550,-1.1980,47.5000
202.240,227.000,227.440,-47.4590,-0.8400,-1.1750,47.4810
230.810,227.000,227.440,-47.4320,-0.8450,-1.2160,47.4560
259.390,227.000,227.440,-47.4380,-0.8550,-1.2110,47.4620
287.960,227.000,227.440,-47.4320,-0.8260,-1.1920,47.4550
345.100,198.430,227.440,-47.4180,-0.8190,-1.1660,47.4420
316.530,198.430,227.440,-47.4350,-0.8090,-1.1270,47.4540
