# COSI2 B0 scan
# time 2024-05-24 16:00:35.244420
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_no_magnet
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
316.530,84.140,198.870,-47.4870,-0.7810,-1.2180,47.5090
287.960,84.140,198.870,-47.4870,-0.7740,-1.2150,47.5080
259.390,84.140,198.870,-47.4780,-0.7880,-1.2190,47.4990
230.810,84.140,198.870,-47.4620,-0.8060,-1.2030,47.4840
202.240,112.710,198.870,-47.4610,-0.8290,-1.1890,47.4810
230.810,112.710,198.870,-47.4660,-0.8480,-1.1700,47.4900
259.390,112.710,198.870,-47.5070,-0.8550,-1.1630,47.5260
287.960,112.710,198.870,-47.4860,-0.8470,-1.1700,47.5070
316.530,141.290,198.870,-47.4790,-0.8250,-1.1790,47.5010
287.960,141.290,198.870,-47.4820,-0.8060,-1.1880,47.5020
259.390,141.290,198.870,-47.5150,-0.7850,-1.1750,47.5310
230.810,141.290,198.870,-47.5060,-0.8020,-1.1650,47.5270
202.240,169.860,198.870,-47.4800,-0.8150,-1.1690,47.5010
230.810,169.860,198.870,-47.4800,-0.8270,-1.1690,47.5020
259.390,169.860,198.870,-47.4900,-0.8410,-1.1810,47.5120
287.960,169.860,198.870,-47.4740,-0.8370,-1.1710,47.4960
202.240,227.000,227.440,-47.4620,-0.8170,-1.1520,47.4840
230.810,227.000,227.440,-47.4410,-0.8170,-1.1740,47.4660
259.390,227.000,227.440,-47.4430,-0.8260,-1.1930,47.4680
287.960,227.000,227.440,-47.4250,-0.8130,-1.1650,47.4500
345.100,198.430,227.440,-47.4270,-0.8130,-1.1300,47.4470
316.530,198.430,227.440,-47.4420,-0.7860,-1.1110,47.4620
287.960,198.430,227.440,-47.7000,-0.7890,-0.9360,47.6980
259.390,198.430,227.440,-47.5640,-0.7710,-1.0030,47.5900
230.810,198.430,227.440,-47.4910,-0.7820,-1.0740,47.5130
202.240,198.430,227.440,-47.4610,-0.8010,-1.1160,47.4810
173.670,169.860,227.440,-47.4630,-0.8100,-1.1540,47.4840
202.240,169.860,227.440,-47.4800,-0.8250,-1.1900,47.4990
230.810,169.860,227.440,-47.5430,-0.8400,-1.2200,47.5670
259.390,169.860,227.440,-47.5190,-0.8260,-1.1990,47.5430
287.960,169.860,227.440,-47.4890,-0.8200,-1.1770,47.5080
316.530,169.860,227.440,-47.4860,-0.8080,-1.1550,47.5040
345.100,141.290,227.440,-47.5120,-0.7980,-1.1350,47.5320
316.530,141.290,227.440,-47.5520,-0.7900,-1.1180,47.5710
287.960,141.290,227.440,-47.6080,-0.7530,-1.1850,47.6250
259.390,141.290,227.440,-47.5710,-0.7690,-1.1830,47.5950
230.810,141.290,227.440,-47.5290,-0.7900,-1.1740,47.5530
202.240,141.290,227.440,-47.5090,-0.8100,-1.1800,47.5310
173.670,112.710,227.440,-47.5000,-0.8180,-1.1780,47.5200
202.240,112.710,227.440,-47.5160,-0.8280,-1.1890,47.5380
230.810,112.710,227.440,-47.5540,-0.8470,-1.1810,47.5730
259.390,112.710,227.440,-47.5310,-0.8410,-1.1870,47.5570
287.960,112.710,227.440,-47.5080,-0.8310,-1.1880,47.5290
316.530,112.710,227.440,-47.4990,-0.8210,-1.1990,47.5210
316.530,84.140,227.440,-47.5140,-0.8010,-1.2000,47.5330
287.960,84.140,227.440,-47.5350,-0.7810,-1.2190,47.5540
259.390,84.140,227.440,-47.5250,-0.7780,-1.2310,47.5470
230.810,84.140,227.440,-47.5010,-0.7950,-1.2290,47.5240
202.240,55.570,256.010,-47.4930,-0.8140,-1.2100,47.5160
230.810,55.570,256.010,-47.4920,-0.8400,-1.1940,47.5130
259.390,55.570,256.010,-47.5220,-0.8510,-1.1970,47.5450
287.960,55.570,256.010,-47.5060,-0.8390,-1.2180,47.5270
345.100,84.140,256.010,-47.4970,-0.8250,-1.2280,47.5200
316.530,84.140,256.010,-47.5050,-0.8130,-1.2490,47.5250
287.960,84.140,256.010,-47.5830,-0.7630,-1.2700,47.6060
259.390,84.140,256.010,-47.5620,-0.7790,-1.2670,47.5880
230.810,84.140,256.010,-47.5270,-0.7940,-1.2490,47.5540
202.240,84.140,256.010,-47.5100,-0.8110,-1.2250,47.5380
173.670,112.710,256.010,-47.5090,-0.8260,-1.2210,47.5320
202.240,112.710,256.010,-47.5270,-0.8310,-1.2080,47.5490
230.810,112.710,256.010,-47.5570,-0.8240,-1.2120,47.5790
259.390,112.710,256.010,-47.5390,-0.8150,-1.2140,47.5650
287.960,112.710,256.010,-47.5270,-0.8100,-1.2150,47.5460
316.530,112.710,256.010,-47.5190,-0.8080,-1.2170,47.5430
345.100,141.290,256.010,-47.5330,-0.7950,-1.2250,47.5510
316.530,141.290,256.010,-47.5700,-0.7730,-1.2400,47.5920
287.960,141.290,256.010,-47.6550,-0.7460,-1.2330,47.6770
259.390,141.290,256.010,-47.6130,-0.7680,-1.2010,47.6380
230.810,141.290,256.010,-47.5600,-0.7870,-1.1920,47.5850
202.240,141.290,256.010,-47.5310,-0.7980,-1.1900,47.5470
173.670,169.860,256.010,-47.5180,-0.8070,-1.2000,47.5380
202.240,169.860,256.010,-47.5240,-0.8040,-1.2120,47.5460
230.810,169.860,256.010,-47.5420,-0.8060,-1.2230,47.5650
259.390,169.860,256.010,-47.5150,-0.8060,-1.2170,47.5370
