# COSI2 B0 scan
# time 2024-05-24 15:06:41.466614
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/quick_ball_point_artifact
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
225.100,67.000,210.300,0.0000,0.0000,0.0000,0.0000
265.100,67.000,210.300,-111.1210,10.9440,11.4660,111.4420
345.100,107.000,210.300,-47.4660,-0.8250,-1.2080,47.4910
305.100,107.000,210.300,-47.5160,-0.7300,-1.2450,47.5380
265.100,107.000,210.300,-47.5070,-0.7860,-1.2060,47.5280
225.100,107.000,210.300,-47.4880,-0.8210,-1.1910,47.5130
185.100,147.000,210.300,-47.5010,-0.8430,-1.1750,47.5230
225.100,147.000,210.300,-47.5420,-0.8480,-1.1920,47.5610
265.100,147.000,210.300,-47.5030,-0.8300,-1.1830,47.5250
305.100,147.000,210.300,-47.4940,-0.8140,-1.1680,47.5170
305.100,187.000,210.300,-47.5250,-0.7900,-1.1690,47.5460
265.100,187.000,210.300,-47.5210,-0.7820,-1.0790,47.5380
185.100,227.000,250.300,-47.4690,-0.7930,-1.1260,47.4890
225.100,227.000,250.300,-47.4790,-0.8110,-1.2100,47.5010
265.100,227.000,250.300,-47.4420,-0.8050,-1.1850,47.4620
305.100,227.000,250.300,-47.4470,-0.8070,-1.1210,47.4690
345.100,187.000,250.300,-47.4500,-0.7930,-1.0940,47.4690
305.100,187.000,250.300,-47.7190,-0.7740,-1.0760,47.7390
265.100,187.000,250.300,-47.5430,-0.7870,-1.0970,47.5610
225.100,187.000,250.300,-47.4950,-0.8000,-1.1450,47.5180
185.100,147.000,250.300,-47.4930,-0.8020,-1.1880,47.5150
225.100,147.000,250.300,-47.5560,-0.8120,-1.2110,47.5800
265.100,147.000,250.300,-47.5180,-0.8090,-1.1950,47.5370
305.100,147.000,250.300,-47.5220,-0.8020,-1.1850,47.5420
345.100,107.000,250.300,-47.5620,-0.7870,-1.1760,47.5830
305.100,107.000,250.300,-47.5830,-0.7480,-1.2650,47.6070
265.100,107.000,250.300,-47.5490,-0.7910,-1.2270,47.5740
225.100,107.000,250.300,-47.5190,-0.8070,-1.2110,47.5410
185.100,67.000,290.300,-47.5230,-0.8170,-1.2110,47.5450
225.100,67.000,290.300,-47.5530,-0.8040,-1.2210,47.5780
265.100,67.000,290.300,-47.5220,-0.8180,-1.2390,47.5450
305.100,67.000,290.300,-47.5200,-0.8250,-1.2570,47.5430
345.100,107.000,290.300,-47.5520,-0.8140,-1.3030,47.5740
305.100,107.000,290.300,-47.6280,-0.7760,-1.2830,47.6480
265.100,107.000,290.300,-47.5770,-0.7910,-1.2480,47.6000
225.100,107.000,290.300,-47.5380,-0.8040,-1.2410,47.5640
185.100,147.000,290.300,-47.5350,-0.8020,-1.2340,47.5570
225.100,147.000,290.300,-47.5590,-0.7710,-1.2490,47.5820
265.100,147.000,290.300,-47.5250,-0.7900,-1.2210,47.5470
305.100,147.000,290.300,-47.5410,-0.7910,-1.2070,47.5620
345.100,187.000,290.300,-47.5970,-0.7870,-1.1960,47.6180
305.100,187.000,290.300,-47.7660,-0.7930,-1.0790,47.7810
265.100,187.000,290.300,-47.5720,-0.7920,-1.0860,47.5920
225.100,187.000,290.300,-47.5080,-0.7930,-1.1400,47.5290
225.100,227.000,330.300,-47.4960,-0.7780,-1.1910,47.5160
265.100,227.000,330.300,-47.4240,-0.7570,-1.1630,47.4460
345.100,187.000,330.300,-47.4190,-0.8230,-1.1020,47.4390
305.100,187.000,330.300,-47.7500,-0.7640,-1.1670,47.7690
265.100,187.000,330.300,-47.5860,-0.7600,-1.0720,47.6040
225.100,187.000,330.300,-47.5100,-0.7740,-1.1500,47.5300
185.100,147.000,330.300,-47.4840,-0.7480,-1.2070,47.5050
225.100,147.000,330.300,-47.5380,-0.7230,-1.2810,47.5590
265.100,147.000,330.300,-47.5210,-0.7660,-1.2520,47.5430
305.100,147.000,330.300,-47.5570,-0.7760,-1.2340,47.5800
305.100,107.000,330.300,-47.6060,-0.7780,-1.2160,47.6300
265.100,107.000,330.300,-47.6080,-0.8070,-1.2820,47.6310
