# COSI2 B0 scan
# time 2024-05-24 16:38:32.224152
# MAGNET CENTER IN LAB: x 245.100 mm, y 127.000 mm, z 270.300 mm
# MAGNET AXES WRT LAB: alpha -90.00 deg, beta -90.00 deg, gamma 0.00 deg
# path: /home/cosi/cosi-measure/Software/COSI2/data/240524/slow_ball_90mm
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT],B0_z[mT],B0_abs[mT]
268.780,93.840,189.770,-47.4510,-0.8200,-1.1880,47.4740
259.310,93.840,189.770,-47.4480,-0.8190,-1.1880,47.4710
249.840,93.840,189.770,-47.4490,-0.8310,-1.1880,47.4730
240.360,93.840,189.770,-47.4500,-0.8360,-1.1750,47.4710
221.420,103.320,189.770,-47.4530,-0.8430,-1.1720,47.4750
230.890,103.320,189.770,-47.4690,-0.8480,-1.1650,47.4920
240.360,103.320,189.770,-47.4780,-0.8550,-1.1600,47.5000
249.840,103.320,189.770,-47.4660,-0.8470,-1.1650,47.4860
259.310,103.320,189.770,-47.4660,-0.8360,-1.1660,47.4880
268.780,103.320,189.770,-47.4590,-0.8260,-1.1770,47.4770
287.730,112.790,189.770,-47.4640,-0.8180,-1.1840,47.4860
278.260,112.790,189.770,-47.4620,-0.8130,-1.1920,47.4820
268.780,112.790,189.770,-47.4710,-0.7980,-1.1950,47.4930
259.310,112.790,189.770,-47.4630,-0.8120,-1.1780,47.4870
249.840,112.790,189.770,-47.4600,-0.8170,-1.1740,47.4820
240.360,112.790,189.770,-47.4570,-0.8270,-1.1700,47.4820
230.890,112.790,189.770,-47.4640,-0.8320,-1.1670,47.4860
221.420,112.790,189.770,-47.4740,-0.8370,-1.1620,47.4960
211.940,122.260,189.770,-47.4790,-0.8540,-1.1570,47.5000
221.420,122.260,189.770,-47.4830,-0.8500,-1.1640,47.5070
230.890,122.260,189.770,-47.4890,-0.8450,-1.1680,47.5110
240.360,122.260,189.770,-47.4730,-0.8440,-1.1640,47.5000
249.840,122.260,189.770,-47.4700,-0.8370,-1.1670,47.4900
259.310,122.260,189.770,-47.4710,-0.8320,-1.1670,47.4920
268.780,122.260,189.770,-47.4650,-0.8200,-1.1720,47.4870
278.260,122.260,189.770,-47.4690,-0.8210,-1.1760,47.4890
287.730,131.740,189.770,-47.4700,-0.8120,-1.1780,47.4930
278.260,131.740,189.770,-47.4770,-0.8070,-1.1780,47.4990
268.780,131.740,189.770,-47.4780,-0.8100,-1.1740,47.5030
259.310,131.740,189.770,-47.4730,-0.8170,-1.1650,47.4920
249.840,131.740,189.770,-47.4720,-0.8200,-1.1660,47.4930
240.360,131.740,189.770,-47.4690,-0.8250,-1.1710,47.4930
230.890,131.740,189.770,-47.4680,-0.8360,-1.1680,47.4890
221.420,131.740,189.770,-47.4750,-0.8350,-1.1670,47.4970
211.940,141.210,189.770,-47.4820,-0.8380,-1.1660,47.5020
221.420,141.210,189.770,-47.4890,-0.8490,-1.1680,47.5050
230.890,141.210,189.770,-47.4870,-0.8450,-1.1680,47.5080
240.360,141.210,189.770,-47.4760,-0.8390,-1.1640,47.4980
249.840,141.210,189.770,-47.4690,-0.8350,-1.1610,47.4920
259.310,141.210,189.770,-47.4670,-0.8290,-1.1570,47.4900
268.780,141.210,189.770,-47.4660,-0.8230,-1.1560,47.4880
278.260,141.210,189.770,-47.4720,-0.8180,-1.1630,47.4940
278.260,150.680,189.770,-47.4790,-0.8090,-1.1620,47.5000
268.780,150.680,189.770,-47.4780,-0.8060,-1.1560,47.5060
259.310,150.680,189.770,-47.4690,-0.8090,-1.1450,47.4950
249.840,150.680,189.770,-47.4670,-0.8210,-1.1490,47.4880
240.360,150.680,189.770,-47.4660,-0.8210,-1.1590,47.4870
230.890,150.680,189.770,-47.4630,-0.8260,-1.1570,47.4870
230.890,160.160,189.770,-47.4660,-0.8290,-1.1640,47.4880
240.360,160.160,189.770,-47.4620,-0.8360,-1.1620,47.4880
249.840,160.160,189.770,-47.4610,-0.8280,-1.1610,47.4840
259.310,160.160,189.770,-47.4610,-0.8220,-1.1570,47.4800
268.780,188.580,199.250,-47.4680,-0.8210,-1.1450,47.4890
259.310,188.580,199.250,-47.4680,-0.8130,-1.1460,47.4890
249.840,188.580,199.250,-47.4470,-0.8000,-1.1190,47.4710
240.360,188.580,199.250,-47.4470,-0.8090,-1.1260,47.4680
211.940,179.110,199.250,-47.4460,-0.8170,-1.1350,47.4670
221.420,179.110,199.250,-47.4440,-0.8190,-1.1450,47.4650
230.890,179.110,199.250,-47.4710,-0.8340,-1.1810,47.4930
240.360,179.110,199.250,-47.4650,-0.8320,-1.1700,47.4860
249.840,179.110,199.250,-47.4610,-0.8280,-1.1640,47.4800
259.310,179.110,199.250,-47.4520,-0.8190,-1.1550,47.4740
268.780,179.110,199.250,-47.4530,-0.8130,-1.1500,47.4740
278.260,179.110,199.250,-47.4570,-0.8090,-1.1300,47.4800
297.210,169.630,199.250,-47.4670,-0.8070,-1.1180,47.4870
287.730,169.630,199.250,-47.4740,-0.7970,-1.1090,47.4920
278.260,169.630,199.250,-47.4980,-0.7980,-1.1140,47.5180
268.780,169.630,199.250,-47.4900,-0.8010,-1.1180,47.5100
259.310,169.630,199.250,-47.4730,-0.8100,-1.1280,47.4970
249.840,169.630,199.250,-47.4700,-0.8120,-1.1360,47.4920
240.360,169.630,199.250,-47.4650,-0.8180,-1.1480,47.4860
230.890,169.630,199.250,-47.4630,-0.8260,-1.1540,47.4840
221.420,169.630,199.250,-47.4650,-0.8240,-1.1590,47.4860
211.940,169.630,199.250,-47.4660,-0.8280,-1.1680,47.4880
202.470,160.160,199.250,-47.4760,-0.8350,-1.1800,47.5000
211.940,160.160,199.250,-47.4890,-0.8410,-1.1760,47.5100
221.420,160.160,199.250,-47.4930,-0.8440,-1.1820,47.5200
230.890,160.160,199.250,-47.4790,-0.8380,-1.1770,47.5040
240.360,160.160,199.250,-47.4730,-0.8330,-1.1720,47.4970
249.840,160.160,199.250,-47.4670,-0.8230,-1.1640,47.4950
259.310,160.160,199.250,-47.4730,-0.8200,-1.1580,47.4950
268.780,160.160,199.250,-47.4690,-0.8200,-1.1530,47.4890
278.260,160.160,199.250,-47.4720,-0.8200,-1.1390,47.4920
287.730,160.160,199.250,-47.4820,-0.8040,-1.1480,47.5050
306.680,150.680,199.250,-47.4850,-0.8050,-1.1340,47.5060
297.210,150.680,199.250,-47.5030,-0.7980,-1.1370,47.5200
287.730,150.680,199.250,-47.5120,-0.8010,-1.1420,47.5320
278.260,150.680,199.250,-47.4970,-0.8020,-1.1480,47.5200
268.780,150.680,199.250,-47.4890,-0.8070,-1.1510,47.5100
259.310,150.680,199.250,-47.4780,-0.8120,-1.1520,47.5020
249.840,150.680,199.250,-47.4780,-0.8170,-1.1560,47.4960
240.360,150.680,199.250,-47.4730,-0.8200,-1.1620,47.4940
230.890,150.680,199.250,-47.4750,-0.8280,-1.1610,47.4970
221.420,150.680,199.250,-47.4760,-0.8340,-1.1670,47.4980
211.940,150.680,199.250,-47.4760,-0.8330,-1.1710,47.4970
202.470,150.680,199.250,-47.4910,-0.8370,-1.1740,47.5060
192.990,141.210,199.250,-47.4990,-0.8480,-1.1800,47.5190
202.470,141.210,199.250,-47.5130,-0.8500,-1.1790,47.5370
211.940,141.210,199.250,-47.5140,-0.8550,-1.1760,47.5360
221.420,141.210,199.250,-47.5000,-0.8470,-1.1800,47.5250
230.890,141.210,199.250,-47.4940,-0.8410,-1.1700,47.5110
240.360,141.210,199.250,-47.4730,-0.8380,-1.1710,47.4990
249.840,141.210,199.250,-47.4780,-0.8330,-1.1680,47.5000
259.310,141.210,199.250,-47.4780,-0.8260,-1.1680,47.4990
268.780,141.210,199.250,-47.4760,-0.8200,-1.1640,47.5010
278.260,141.210,199.250,-47.4770,-0.8180,-1.1660,47.4990
287.730,141.210,199.250,-47.4790,-0.8090,-1.1640,47.5000
297.210,141.210,199.250,-47.4890,-0.8060,-1.1600,47.5080
306.680,131.740,199.250,-47.4960,-0.8010,-1.1600,47.5120
297.210,131.740,199.250,-47.5010,-0.7960,-1.1690,47.5220
287.730,131.740,199.250,-47.4970,-0.7940,-1.1840,47.5240
278.260,131.740,199.250,-47.4920,-0.8010,-1.1760,47.5100
268.780,131.740,199.250,-47.4840,-0.8050,-1.1720,47.5020
259.310,131.740,199.250,-47.4780,-0.8180,-1.1680,47.5020
249.840,131.740,199.250,-47.4770,-0.8220,-1.1700,47.5020
240.360,131.740,199.250,-47.4790,-0.8290,-1.1680,47.5000
230.890,131.740,199.250,-47.4760,-0.8270,-1.1690,47.4980
221.420,131.740,199.250,-47.4850,-0.8350,-1.1680,47.5080
211.940,131.740,199.250,-47.4870,-0.8410,-1.1700,47.5030
202.470,131.740,199.250,-47.4900,-0.8440,-1.1720,47.5100
192.990,122.260,199.250,-47.5020,-0.8480,-1.1740,47.5240
202.470,122.260,199.250,-47.5110,-0.8610,-1.1660,47.5370
211.940,122.260,199.250,-47.5130,-0.8600,-1.1710,47.5360
221.420,122.260,199.250,-47.5030,-0.8530,-1.1710,47.5270
230.890,122.260,199.250,-47.4920,-0.8490,-1.1710,47.5150
240.360,122.260,199.250,-47.4820,-0.8440,-1.1680,47.5080
249.840,122.260,199.250,-47.4800,-0.8380,-1.1670,47.5030
259.310,122.260,199.250,-47.4770,-0.8280,-1.1750,47.4950
268.780,122.260,199.250,-47.4720,-0.8270,-1.1770,47.4960
278.260,122.260,199.250,-47.4770,-0.8180,-1.1710,47.4980
287.730,122.260,199.250,-47.4800,-0.8130,-1.1770,47.5010
297.210,122.260,199.250,-47.4900,-0.8070,-1.1850,47.5080
297.210,112.790,199.250,-47.4890,-0.7990,-1.1850,47.5100
287.730,112.790,199.250,-47.4890,-0.7970,-1.1880,47.5120
278.260,112.790,199.250,-47.4800,-0.7970,-1.1950,47.5020
268.780,112.790,199.250,-47.4830,-0.8030,-1.1880,47.5040
259.310,112.790,199.250,-47.4730,-0.8160,-1.1850,47.4980
249.840,112.790,199.250,-47.4670,-0.8210,-1.1760,47.4890
240.360,112.790,199.250,-47.4750,-0.8320,-1.1810,47.4940
230.890,112.790,199.250,-47.4770,-0.8320,-1.1730,47.4960
221.420,112.790,199.250,-47.4850,-0.8390,-1.1700,47.5060
211.940,112.790,199.250,-47.4850,-0.8460,-1.1670,47.5080
202.470,103.320,199.250,-47.4910,-0.8530,-1.1640,47.5130
211.940,103.320,199.250,-47.4960,-0.8570,-1.1600,47.5190
221.420,103.320,199.250,-47.5020,-0.8630,-1.1640,47.5240
230.890,103.320,199.250,-47.4900,-0.8590,-1.1640,47.5180
240.360,103.320,199.250,-47.4790,-0.8490,-1.1680,47.5040
249.840,103.320,199.250,-47.4730,-0.8430,-1.1710,47.4970
259.310,103.320,199.250,-47.4710,-0.8360,-1.1740,47.4890
268.780,103.320,199.250,-47.4670,-0.8280,-1.1810,47.4870
278.260,103.320,199.250,-47.4610,-0.8240,-1.1920,47.4820
287.730,103.320,199.250,-47.4710,-0.8140,-1.1850,47.4910
287.730,93.840,199.250,-47.4720,-0.8020,-1.1960,47.4940
278.260,93.840,199.250,-47.4700,-0.8030,-1.1980,47.4920
268.780,93.840,199.250,-47.4670,-0.8130,-1.1980,47.4890
259.310,93.840,199.250,-47.4650,-0.8160,-1.1880,47.4830
249.840,93.840,199.250,-47.4570,-0.8280,-1.1850,47.4790
240.360,93.840,199.250,-47.4710,-0.8370,-1.1800,47.4930
230.890,93.840,199.250,-47.4630,-0.8430,-1.1760,47.4870
221.420,93.840,199.250,-47.4690,-0.8490,-1.1680,47.4910
230.890,84.370,199.250,-47.4780,-0.8550,-1.1630,47.4990
240.360,84.370,199.250,-47.4720,-0.8490,-1.1610,47.4940
249.840,84.370,199.250,-47.4660,-0.8520,-1.1710,47.4930
259.310,84.370,199.250,-47.4540,-0.8380,-1.1770,47.4730
230.890,65.420,208.720,-47.4560,-0.8280,-1.1840,47.4780
240.360,65.420,208.720,-47.4550,-0.8360,-1.1910,47.4790
249.840,65.420,208.720,-47.4670,-0.8560,-1.1710,47.4870
259.310,65.420,208.720,-47.4540,-0.8440,-1.1770,47.4770
287.730,74.890,208.720,-47.4520,-0.8340,-1.1910,47.4740
278.260,74.890,208.720,-47.4510,-0.8260,-1.1970,47.4720
268.780,74.890,208.720,-47.4580,-0.8060,-1.2160,47.4780
259.310,74.890,208.720,-47.4560,-0.8100,-1.2110,47.4810
249.840,74.890,208.720,-47.4530,-0.8140,-1.2030,47.4750
240.360,74.890,208.720,-47.4590,-0.8290,-1.1970,47.4830
230.890,74.890,208.720,-47.4590,-0.8410,-1.1880,47.4820
221.420,74.890,208.720,-47.4630,-0.8400,-1.1800,47.4850
202.470,84.370,208.720,-47.4680,-0.8550,-1.1730,47.4900
211.940,84.370,208.720,-47.4860,-0.8590,-1.1680,47.5050
221.420,84.370,208.720,-47.5030,-0.8610,-1.1570,47.5250
230.890,84.370,208.720,-47.4970,-0.8620,-1.1660,47.5170
240.360,84.370,208.720,-47.4890,-0.8530,-1.1660,47.5110
249.840,84.370,208.720,-47.4770,-0.8460,-1.1740,47.5000
259.310,84.370,208.720,-47.4660,-0.8420,-1.1860,47.4950
