Keithley Instruments: Cyclic Voltammetry

System Parameters
Date/Time,Wed Jul 20 16:58:16 2022
Model,2450
Serial Number,04509830
Firmware,1.6.7c
Program Version,122148
EC Framework Version,1.0

General Parameters

Source Parameters
Source Range, 2
# of Vertices, 3, 
Vertex 1, -0.3, V
Vertex 2, 0.7, V
Vertex 3, -0.3, V
Vertex 4, 4, V
Source Rate, 50, mV/sec
# of Cycles, 200

Measure Parameters
Current Range, 0.01, A
Sampling Interval, 100, points/cycle
nplc, 0.95

Calculated Parameters
stepSize, 0.001, V
sourceDelay, 0.02, seconds
voltageLimit, 0.7, V


Raw Data
Voltage,Current,Seconds

-0.3,-4.12017e-06, 0
-0.28,-2.96719e-06, 0.420638
-0.26,-2.40654e-06, 0.82063
-0.24,-1.9595e-06, 1.22063
-0.22,-1.4957e-06, 1.62064
-0.199,-8.19564e-07, 2.04063
-0.179,1.60187e-07, 2.44062
-0.159,1.70432e-06, 2.84063
-0.139,4.11272e-06, 3.24062
-0.119,7.62381e-06, 3.64064
-0.098,1.08592e-05, 4.06063
-0.078,4.77396e-06, 4.46064
-0.058,1.97813e-06, 4.86064
-0.038,8.82894e-07, 5.26064
-0.018,6.44475e-07, 5.66062
0.003,6.37025e-07, 6.08058
0.023,6.92904e-07, 6.4806
0.043,7.76723e-07, 6.88059
0.063,8.62405e-07, 7.2806
0.083,9.66713e-07, 7.6806
0.104,1.06916e-06, 8.10059
0.124,1.17905e-06, 8.50058
0.144,1.28709e-06, 8.9006
0.164,1.41561e-06, 9.30058
0.184,1.54786e-06, 9.70058
0.205,1.66707e-06, 10.1206
0.225,1.80677e-06, 10.5206
0.245,1.98931e-06, 10.9206
0.265,2.2091e-06, 11.3206
0.285,2.54437e-06, 11.7206
0.306,3.12179e-06, 12.1406
0.326,4.014e-06, 12.5406
0.346,5.36628e-06, 12.9406
0.366,7.03521e-06, 13.3406
0.386,8.44337e-06, 13.7406
0.407,9.07667e-06, 14.1606
0.427,8.95187e-06, 14.5606
0.447,8.50111e-06, 14.9606
0.467,8.06153e-06, 15.3606
0.487,7.73929e-06, 15.7606
0.508,7.49901e-06, 16.1806
0.528,7.41519e-06, 16.5806
0.548,7.75419e-06, 16.9806
0.568,8.77678e-06, 17.3806
0.588,9.86457e-06, 17.7806
0.609,1.05426e-05, 18.2006
0.629,1.07661e-05, 18.6006
0.649,1.07586e-05, 19.0006
0.669,1.06916e-05, 19.4006
0.689,1.0645e-05, 19.8006
0.689,9.38214e-06, 20.2206
0.669,7.95536e-06, 20.6206
0.649,6.98864e-06, 21.0206
0.629,6.12624e-06, 21.4206
0.609,5.26942e-06, 21.8206
0.588,4.32879e-06, 22.2406
0.568,3.42727e-06, 22.6406
0.548,2.68221e-06, 23.0406
0.528,2.2538e-06, 23.4406
0.508,2.02097e-06, 23.8406
0.487,1.77324e-06, 24.2606
0.467,1.44355e-06, 24.6606
0.447,8.9407e-07, 25.0606
0.427,-1.69501e-07, 25.4606
0.407,-2.04146e-06, 25.8606
0.386,-4.44427e-06, 26.2806
0.366,-5.84126e-06, 26.6806
0.346,-6.02007e-06, 27.0806
0.326,-5.23776e-06, 27.4806
0.306,-4.36418e-06, 27.8806
0.285,-3.61912e-06, 28.3006
0.265,-3.08268e-06, 28.7006
0.245,-2.67476e-06, 29.1006
0.225,-2.30968e-06, 29.5006
0.205,-2.07312e-06, 29.9006
0.184,-1.91666e-06, 30.3206
0.164,-1.81794e-06, 30.7206
0.144,-1.75834e-06, 31.1206
0.124,-1.7304e-06, 31.5206
0.104,-1.72295e-06, 31.9206
0.083,-1.73785e-06, 32.3406
0.063,-1.75275e-06, 32.7406
0.043,-1.76392e-06, 33.1406
0.023,-1.76765e-06, 33.5406
0.003,-1.75834e-06, 33.9406
-0.018,-1.7304e-06, 34.3606
-0.038,-1.71736e-06, 34.7606
-0.058,-1.7155e-06, 35.1606
-0.078,-1.73412e-06, 35.5606
-0.098,-1.78069e-06, 35.9606
-0.119,-1.89617e-06, 36.3806
-0.139,-2.22214e-06, 36.7806
-0.159,-2.8573e-06, 37.1806
-0.179,-3.32482e-06, 37.5806
-0.199,-3.50364e-06, 37.9806
-0.22,-3.3956e-06, 38.4006
-0.24,-3.22796e-06, 38.8006
-0.26,-3.06778e-06, 39.2006
-0.28,-2.94112e-06, 39.6006
-0.299,-2.78465e-06, 40.0006
-0.278,-2.27802e-06, 40.4206
-0.258,-1.98931e-06, 40.8207
-0.238,-1.71363e-06, 41.2207
-0.218,-1.38581e-06, 41.6206
-0.197,-8.99658e-07, 42.0406
-0.177,-1.76951e-07, 42.4406
-0.157,9.2946e-07, 42.8406
-0.137,2.70642e-06, 43.2406
-0.117,5.29177e-06, 43.6406
-0.096,7.20844e-06, 44.0606
-0.076,3.86126e-06, 44.4606
-0.056,1.13435e-06, 44.8606
-0.036,8.62405e-07, 45.2606
-0.016,7.91624e-07, 45.6606
0.005,7.89762e-07, 46.0806
0.025,8.28877e-07, 46.4806
0.045,9.03383e-07, 46.8806
0.065,9.87202e-07, 47.2806
0.085,1.06171e-06, 47.6806
0.106,1.13249e-06, 48.1006
0.126,1.20327e-06, 48.5006
0.146,1.24425e-06, 48.9006
0.166,1.28336e-06, 49.3006
0.186,1.32248e-06, 49.7006
0.207,1.37836e-06, 50.1206
0.227,1.46404e-06, 50.5206
0.247,1.59815e-06, 50.9206
0.267,1.80677e-06, 51.3206
0.287,2.20351e-06, 51.7206
0.308,2.99513e-06, 52.1406
0.328,4.34369e-06, 52.5406
0.348,6.51553e-06, 52.9406
0.368,9.3542e-06, 53.3406
0.388,1.17272e-05, 53.7406
0.409,1.16359e-05, 54.1606
0.429,1.0239e-05, 54.5606
0.449,8.97981e-06, 54.9606
0.469,8.08388e-06, 55.3606
0.489,7.57165e-06, 55.7606
0.51,7.30716e-06, 56.1806
0.53,7.38539e-06, 56.5806
0.55,8.40239e-06, 56.9806
0.57,1.06879e-05, 57.3806
0.59,1.23251e-05, 57.7806
0.611,1.24574e-05, 58.2006
0.631,1.18818e-05, 58.6006
0.651,1.12168e-05, 59.0006
0.671,1.06618e-05, 59.4006
0.691,1.02744e-05, 59.8006
0.687,8.76561e-06, 60.2206
0.667,7.59028e-06, 60.6206
0.647,6.70552e-06, 61.0206
0.627,5.86733e-06, 61.4206
0.607,4.95277e-06, 61.8206
0.586,3.86499e-06, 62.2406
0.566,2.76975e-06, 62.6406
0.546,1.90362e-06, 63.0406
0.526,1.4212e-06, 63.4406
0.506,1.112e-06, 63.8406
0.485,7.37607e-07, 64.2606
0.465,1.73226e-07, 64.6606
0.445,-8.6613e-07, 65.0606
0.425,-2.92994e-06, 65.4606
0.405,-6.55651e-06, 65.8606
0.384,-1.04159e-05, 66.2806
0.364,-1.06469e-05, 66.6806
0.344,-9.42498e-06, 67.0806
0.324,-7.67782e-06, 67.4806
0.304,-6.24359e-06, 67.8806
0.283,-5.19305e-06, 68.3006
0.263,-4.51878e-06, 68.7006
0.243,-4.03449e-06, 69.1006
0.223,-3.65078e-06, 69.5006
0.203,-3.25777e-06, 69.9006
0.182,-2.91876e-06, 70.3206
0.162,-2.7623e-06, 70.7206
0.142,-2.65799e-06, 71.1206
0.122,-2.60584e-06, 71.5206
0.102,-2.57604e-06, 71.9206
0.081,-2.55369e-06, 72.3406
0.061,-2.563e-06, 72.7406
0.041,-2.59094e-06, 73.1406
0.021,-2.60025e-06, 73.5406
0.001,-2.55369e-06, 73.9406
-0.02,-2.4531e-06, 74.3607
-0.04,-2.39164e-06, 74.7606
-0.06,-2.3488e-06, 75.1606
-0.08,-2.32644e-06, 75.5606
-0.1,-2.32644e-06, 75.9606
-0.121,-2.38605e-06, 76.3806
-0.141,-2.62819e-06, 76.7806
-0.161,-3.0119e-06, 77.1806
-0.181,-3.26522e-06, 77.5806
-0.201,-3.34159e-06, 77.9806
-0.222,-3.24287e-06, 78.4006
-0.242,-3.12179e-06, 78.8006
-0.262,-3.00631e-06, 79.2006
-0.282,-2.91876e-06, 79.6006
