# COSI2 B0 scan
# time 2024-05-17 15:28:04.465929
# MAGNET CENTER IN LAB: x 0.000 mm, y 0.000 mm, z 0.000 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/dummies/b0_maps/testcsv_bvals.csv
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
50.000,-30.000,-50.000,0.0000,0.0000,0.0000,0.0000
30.000,-30.000,-50.000,0.0000,0.0000,0.0000,0.0000
10.000,-30.000,-50.000,0.0000,0.0000,0.0000,0.0000
-10.000,-30.000,-50.000,0.0000,0.0000,0.0000,0.0000
-30.000,-10.000,-50.000,0.0000,0.0000,0.0000,0.0000
-10.000,-10.000,-50.000,0.0000,0.0000,0.0000,0.0000
10.000,-10.000,-50.000,0.0000,0.0000,0.0000,0.0000
30.000,-10.000,-50.000,0.0000,0.0000,0.0000,0.0000
50.000,10.000,-50.000,0.0000,0.0000,0.0000,0.0000
30.000,10.000,-50.000,0.0000,0.0000,0.0000,0.0000
10.000,10.000,-50.000,0.0000,0.0000,0.0000,0.0000
-10.000,10.000,-50.000,0.0000,0.0000,0.0000,0.0000
-30.000,30.000,-50.000,0.0000,0.0000,0.0000,0.0000
-10.000,30.000,-50.000,0.0000,0.0000,0.0000,0.0000
10.000,30.000,-50.000,0.0000,0.0000,0.0000,0.0000
30.000,30.000,-50.000,0.0000,0.0000,0.0000,0.0000
-30.000,70.000,-30.000,0.0000,0.0000,0.0000,0.0000
-10.000,70.000,-30.000,0.0000,0.0000,0.0000,0.0000
10.000,70.000,-30.000,0.0000,0.0000,0.0000,0.0000
30.000,70.000,-30.000,0.0000,0.0000,0.0000,0.0000
70.000,50.000,-30.000,0.0000,0.0000,0.0000,0.0000
50.000,50.000,-30.000,0.0000,0.0000,0.0000,0.0000
30.000,50.000,-30.000,0.0000,0.0000,0.0000,0.0000
10.000,50.000,-30.000,0.0000,0.0000,0.0000,0.0000
-10.000,50.000,-30.000,0.0000,0.0000,0.0000,0.0000
-30.000,50.000,-30.000,0.0000,0.0000,0.0000,0.0000
-50.000,30.000,-30.000,0.0000,0.0000,0.0000,0.0000
-30.000,30.000,-30.000,0.0000,0.0000,0.0000,0.0000
-10.000,30.000,-30.000,0.0000,0.0000,0.0000,0.0000
10.000,30.000,-30.000,0.0000,0.0000,0.0000,0.0000
30.000,30.000,-30.000,0.0000,0.0000,0.0000,0.0000
50.000,30.000,-30.000,0.0000,0.0000,0.0000,0.0000
70.000,10.000,-30.000,0.0000,0.0000,0.0000,0.0000
50.000,10.000,-30.000,0.0000,0.0000,0.0000,0.0000
30.000,10.000,-30.000,0.0000,0.0000,0.0000,0.0000
10.000,10.000,-30.000,0.0000,0.0000,0.0000,0.0000
-10.000,10.000,-30.000,0.0000,0.0000,0.0000,0.0000
-30.000,10.000,-30.000,0.0000,0.0000,0.0000,0.0000
-50.000,-10.000,-30.000,0.0000,0.0000,0.0000,0.0000
-30.000,-10.000,-30.000,0.0000,0.0000,0.0000,0.0000
-10.000,-10.000,-30.000,0.0000,0.0000,0.0000,0.0000
10.000,-10.000,-30.000,0.0000,0.0000,0.0000,0.0000
30.000,-10.000,-30.000,0.0000,0.0000,0.0000,0.0000
50.000,-10.000,-30.000,0.0000,0.0000,0.0000,0.0000
50.000,-30.000,-30.000,0.0000,0.0000,0.0000,0.0000
30.000,-30.000,-30.000,0.0000,0.0000,0.0000,0.0000
10.000,-30.000,-30.000,0.0000,0.0000,0.0000,0.0000
-10.000,-30.000,-30.000,0.0000,0.0000,0.0000,0.0000
-30.000,-50.000,-10.000,0.0000,0.0000,0.0000,0.0000
-10.000,-50.000,-10.000,0.0000,0.0000,0.0000,0.0000
10.000,-50.000,-10.000,0.0000,0.0000,0.0000,0.0000
30.000,-50.000,-10.000,0.0000,0.0000,0.0000,0.0000
70.000,-30.000,-10.000,0.0000,0.0000,0.0000,0.0000
50.000,-30.000,-10.000,0.0000,0.0000,0.0000,0.0000
30.000,-30.000,-10.000,0.0000,0.0000,0.0000,0.0000
10.000,-30.000,-10.000,0.0000,0.0000,0.0000,0.0000
-10.000,-30.000,-10.000,0.0000,0.0000,0.0000,0.0000
-30.000,-30.000,-10.000,0.0000,0.0000,0.0000,0.0000
-50.000,-10.000,-10.000,0.0000,0.0000,0.0000,0.0000
-30.000,-10.000,-10.000,0.0000,0.0000,0.0000,0.0000
-10.000,-10.000,-10.000,0.0000,0.0000,0.0000,0.0000
10.000,-10.000,-10.000,0.0000,0.0000,0.0000,0.0000
30.000,-10.000,-10.000,0.0000,0.0000,0.0000,0.0000
50.000,-10.000,-10.000,0.0000,0.0000,0.0000,0.0000
70.000,10.000,-10.000,0.0000,0.0000,0.0000,0.0000
50.000,10.000,-10.000,0.0000,0.0000,0.0000,0.0000
30.000,10.000,-10.000,0.0000,0.0000,0.0000,0.0000
10.000,10.000,-10.000,0.0000,0.0000,0.0000,0.0000
-10.000,10.000,-10.000,0.0000,0.0000,0.0000,0.0000
-30.000,10.000,-10.000,0.0000,0.0000,0.0000,0.0000
-50.000,30.000,-10.000,0.0000,0.0000,0.0000,0.0000
-30.000,30.000,-10.000,0.0000,0.0000,0.0000,0.0000
-10.000,30.000,-10.000,0.0000,0.0000,0.0000,0.0000
10.000,30.000,-10.000,0.0000,0.0000,0.0000,0.0000
30.000,30.000,-10.000,0.0000,0.0000,0.0000,0.0000
50.000,30.000,-10.000,0.0000,0.0000,0.0000,0.0000
50.000,50.000,-10.000,0.0000,0.0000,0.0000,0.0000
30.000,50.000,-10.000,0.0000,0.0000,0.0000,0.0000
10.000,50.000,-10.000,0.0000,0.0000,0.0000,0.0000
-10.000,50.000,-10.000,0.0000,0.0000,0.0000,0.0000
-30.000,70.000,10.000,0.0000,0.0000,0.0000,0.0000
-10.000,70.000,10.000,0.0000,0.0000,0.0000,0.0000
10.000,70.000,10.000,0.0000,0.0000,0.0000,0.0000
30.000,70.000,10.000,0.0000,0.0000,0.0000,0.0000
70.000,50.000,10.000,0.0000,0.0000,0.0000,0.0000
50.000,50.000,10.000,0.0000,0.0000,0.0000,0.0000
30.000,50.000,10.000,0.0000,0.0000,0.0000,0.0000
10.000,50.000,10.000,0.0000,0.0000,0.0000,0.0000
-10.000,50.000,10.000,0.0000,0.0000,0.0000,0.0000
-30.000,50.000,10.000,0.0000,0.0000,0.0000,0.0000
-50.000,30.000,10.000,0.0000,0.0000,0.0000,0.0000
-30.000,30.000,10.000,0.0000,0.0000,0.0000,0.0000
-10.000,30.000,10.000,0.0000,0.0000,0.0000,0.0000
10.000,30.000,10.000,0.0000,0.0000,0.0000,0.0000
30.000,30.000,10.000,0.0000,0.0000,0.0000,0.0000
50.000,30.000,10.000,0.0000,0.0000,0.0000,0.0000
70.000,10.000,10.000,0.0000,0.0000,0.0000,0.0000
50.000,10.000,10.000,0.0000,0.0000,0.0000,0.0000
30.000,10.000,10.000,0.0000,0.0000,0.0000,0.0000
10.000,10.000,10.000,0.0000,0.0000,0.0000,0.0000
-10.000,10.000,10.000,0.0000,0.0000,0.0000,0.0000
-30.000,10.000,10.000,0.0000,0.0000,0.0000,0.0000
-50.000,-10.000,10.000,0.0000,0.0000,0.0000,0.0000
-30.000,-10.000,10.000,0.0000,0.0000,0.0000,0.0000
-10.000,-10.000,10.000,0.0000,0.0000,0.0000,0.0000
10.000,-10.000,10.000,0.0000,0.0000,0.0000,0.0000
30.000,-10.000,10.000,0.0000,0.0000,0.0000,0.0000
50.000,-10.000,10.000,0.0000,0.0000,0.0000,0.0000
50.000,-30.000,10.000,0.0000,0.0000,0.0000,0.0000
30.000,-30.000,10.000,0.0000,0.0000,0.0000,0.0000
10.000,-30.000,10.000,0.0000,0.0000,0.0000,0.0000
-10.000,-30.000,10.000,0.0000,0.0000,0.0000,0.0000
-30.000,-50.000,30.000,0.0000,0.0000,0.0000,0.0000
-10.000,-50.000,30.000,0.0000,0.0000,0.0000,0.0000
10.000,-50.000,30.000,0.0000,0.0000,0.0000,0.0000
30.000,-50.000,30.000,0.0000,0.0000,0.0000,0.0000
70.000,-30.000,30.000,0.0000,0.0000,0.0000,0.0000
50.000,-30.000,30.000,0.0000,0.0000,0.0000,0.0000
30.000,-30.000,30.000,0.0000,0.0000,0.0000,0.0000
10.000,-30.000,30.000,0.0000,0.0000,0.0000,0.0000
-10.000,-30.000,30.000,0.0000,0.0000,0.0000,0.0000
-30.000,-30.000,30.000,0.0000,0.0000,0.0000,0.0000
-50.000,-10.000,30.000,0.0000,0.0000,0.0000,0.0000
-30.000,-10.000,30.000,0.0000,0.0000,0.0000,0.0000
-10.000,-10.000,30.000,0.0000,0.0000,0.0000,0.0000
10.000,-10.000,30.000,0.0000,0.0000,0.0000,0.0000
30.000,-10.000,30.000,0.0000,0.0000,0.0000,0.0000
50.000,-10.000,30.000,0.0000,0.0000,0.0000,0.0000
70.000,10.000,30.000,0.0000,0.0000,0.0000,0.0000
50.000,10.000,30.000,0.0000,0.0000,0.0000,0.0000
30.000,10.000,30.000,0.0000,0.0000,0.0000,0.0000
10.000,10.000,30.000,0.0000,0.0000,0.0000,0.0000
-10.000,10.000,30.000,0.0000,0.0000,0.0000,0.0000
-30.000,10.000,30.000,0.0000,0.0000,0.0000,0.0000
-50.000,30.000,30.000,0.0000,0.0000,0.0000,0.0000
-30.000,30.000,30.000,0.0000,0.0000,0.0000,0.0000
-10.000,30.000,30.000,0.0000,0.0000,0.0000,0.0000
10.000,30.000,30.000,0.0000,0.0000,0.0000,0.0000
30.000,30.000,30.000,0.0000,0.0000,0.0000,0.0000
50.000,30.000,30.000,0.0000,0.0000,0.0000,0.0000
50.000,50.000,30.000,0.0000,0.0000,0.0000,0.0000
30.000,50.000,30.000,0.0000,0.0000,0.0000,0.0000
10.000,50.000,30.000,0.0000,0.0000,0.0000,0.0000
-10.000,50.000,30.000,0.0000,0.0000,0.0000,0.0000
50.000,50.000,50.000,0.0000,0.0000,0.0000,0.0000
30.000,50.000,50.000,0.0000,0.0000,0.0000,0.0000
10.000,50.000,50.000,0.0000,0.0000,0.0000,0.0000
-10.000,50.000,50.000,0.0000,0.0000,0.0000,0.0000
-30.000,30.000,50.000,0.0000,0.0000,0.0000,0.0000
-10.000,30.000,50.000,0.0000,0.0000,0.0000,0.0000
10.000,30.000,50.000,0.0000,0.0000,0.0000,0.0000
30.000,30.000,50.000,0.0000,0.0000,0.0000,0.0000
50.000,10.000,50.000,0.0000,0.0000,0.0000,0.0000
30.000,10.000,50.000,0.0000,0.0000,0.0000,0.0000
10.000,10.000,50.000,0.0000,0.0000,0.0000,0.0000
-10.000,10.000,50.000,0.0000,0.0000,0.0000,0.0000
-30.000,-10.000,50.000,0.0000,0.0000,0.0000,0.0000
-10.000,-10.000,50.000,0.0000,0.0000,0.0000,0.0000
10.000,-10.000,50.000,0.0000,0.0000,0.0000,0.0000
30.000,-10.000,50.000,0.0000,0.0000,0.0000,0.0000
