EMRE Device Manager: Chronopotentiometry

System Parameters
Date/Time,2022-08-31 19:24:51.278095


Raw Data

Data Pt,Times (s), Current (A), Potential (V)
0,0.002093,0.000010,1.190171
1,0.822787,0.000010,1.470150
2,0.898941,0.000010,1.523902
3,0.973239,0.000010,1.549392
4,1.066275,0.000010,1.569171
5,1.153523,0.000010,1.579392
6,1.250216,0.000010,1.589870
7,1.342982,0.000010,1.597860
8,1.439167,0.000010,1.604169
9,1.524305,0.000010,1.611030
10,1.605503,0.000010,1.616385
11,1.690072,0.000010,1.621021
12,1.768470,0.000010,1.626044
13,1.861800,0.000010,1.630799
14,1.941510,0.000010,1.635032
15,2.020472,0.000010,1.639075
16,2.115608,0.000010,1.643425
17,2.187500,0.000010,1.648456
18,2.256784,0.000010,1.650473
19,2.329658,0.000010,1.655225
20,2.399929,0.000010,1.657781
21,2.481004,0.000010,1.661776
22,2.555868,0.000010,1.664687
23,2.628057,0.000010,1.669386
24,2.709230,0.000010,1.672980
25,2.799553,0.000010,1.676008
26,2.876778,0.000010,1.679220
27,2.955783,0.000010,1.682798
28,3.038913,0.000010,1.686496
29,3.123142,0.000010,1.690926
30,3.236028,0.000010,1.694923
31,3.320163,0.000010,1.698734
32,3.409635,0.000010,1.703328
33,3.489265,0.000010,1.706701
34,3.566526,0.000010,1.709892
35,3.652505,0.000010,1.712745
36,3.748338,0.000010,1.717255
37,3.862433,0.000010,1.721135
38,3.985751,0.000010,1.726592
39,4.065104,0.000010,1.729539
40,4.147622,0.000010,1.732915
41,4.228165,0.000010,1.735945
42,4.318297,0.000010,1.738029
43,4.404672,0.000010,1.742330
44,4.504013,0.000010,1.745761
45,4.584622,0.000010,1.748872
46,4.656224,0.000010,1.750435
47,4.745371,0.000010,1.754709
48,4.822552,0.000010,1.756813
49,4.902569,0.000010,1.759671
50,4.992277,0.000010,1.763055
51,5.074380,0.000010,1.765441
52,5.149142,0.000010,1.768901
53,5.224378,0.000010,1.771071
