# COSI2 B0 scan
# time 2024-05-22 15:20:09.823322
# MAGNET CENTER IN LAB: x 265.170 mm, y 182.350 mm, z 163.750 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/dummies/pathfiles/tst.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
249.170,134.350,115.750,0.0000,100.0000,0.0000,0.0000
281.170,134.350,115.750,0.0000,100.0000,0.0000,0.0000
345.170,166.350,115.750,0.0000,100.0000,0.0000,0.0000
313.170,166.350,115.750,0.0000,100.0000,0.0000,0.0000
281.170,166.350,115.750,0.0000,100.0000,0.0000,0.0000
249.170,166.350,115.750,0.0000,100.0000,0.0000,0.0000
217.170,198.350,115.750,0.0000,100.0000,0.0000,0.0000
249.170,198.350,115.750,0.0000,100.0000,0.0000,0.0000
281.170,198.350,115.750,0.0000,100.0000,0.0000,0.0000
313.170,198.350,115.750,0.0000,100.0000,0.0000,0.0000
313.170,230.350,115.750,0.0000,100.0000,0.0000,0.0000
281.170,230.350,115.750,0.0000,100.0000,0.0000,0.0000
217.170,262.350,147.750,0.0000,100.0000,0.0000,0.0000
249.170,262.350,147.750,0.0000,100.0000,0.0000,0.0000
281.170,262.350,147.750,0.0000,100.0000,0.0000,0.0000
313.170,262.350,147.750,0.0000,100.0000,0.0000,0.0000
345.170,230.350,147.750,0.0000,100.0000,0.0000,0.0000
313.170,230.350,147.750,0.0000,100.0000,0.0000,0.0000
281.170,230.350,147.750,0.0000,100.0000,0.0000,0.0000
249.170,230.350,147.750,0.0000,100.0000,0.0000,0.0000
217.170,198.350,147.750,0.0000,100.0000,0.0000,0.0000
249.170,198.350,147.750,0.0000,100.0000,0.0000,0.0000
281.170,198.350,147.750,0.0000,100.0000,0.0000,0.0000
313.170,198.350,147.750,0.0000,100.0000,0.0000,0.0000
345.170,166.350,147.750,0.0000,100.0000,0.0000,0.0000
313.170,166.350,147.750,0.0000,100.0000,0.0000,0.0000
281.170,166.350,147.750,0.0000,100.0000,0.0000,0.0000
249.170,166.350,147.750,0.0000,100.0000,0.0000,0.0000
217.170,134.350,179.750,0.0000,100.0000,0.0000,0.0000
249.170,134.350,179.750,0.0000,100.0000,0.0000,0.0000
281.170,134.350,179.750,0.0000,100.0000,0.0000,0.0000
313.170,134.350,179.750,0.0000,100.0000,0.0000,0.0000
345.170,166.350,179.750,0.0000,100.0000,0.0000,0.0000
313.170,166.350,179.750,0.0000,100.0000,0.0000,0.0000
281.170,166.350,179.750,0.0000,100.0000,0.0000,0.0000
249.170,166.350,179.750,0.0000,100.0000,0.0000,0.0000
217.170,198.350,179.750,0.0000,100.0000,0.0000,0.0000
249.170,198.350,179.750,0.0000,100.0000,0.0000,0.0000
281.170,198.350,179.750,0.0000,100.0000,0.0000,0.0000
313.170,198.350,179.750,0.0000,100.0000,0.0000,0.0000
345.170,230.350,179.750,0.0000,100.0000,0.0000,0.0000
313.170,230.350,179.750,0.0000,100.0000,0.0000,0.0000
281.170,230.350,179.750,0.0000,100.0000,0.0000,0.0000
249.170,230.350,179.750,0.0000,100.0000,0.0000,0.0000
249.170,262.350,211.750,0.0000,100.0000,0.0000,0.0000
281.170,262.350,211.750,0.0000,100.0000,0.0000,0.0000
345.170,230.350,211.750,0.0000,100.0000,0.0000,0.0000
313.170,230.350,211.750,0.0000,100.0000,0.0000,0.0000
281.170,230.350,211.750,0.0000,100.0000,0.0000,0.0000
249.170,230.350,211.750,0.0000,100.0000,0.0000,0.0000
217.170,198.350,211.750,0.0000,100.0000,0.0000,0.0000
249.170,198.350,211.750,0.0000,100.0000,0.0000,0.0000
281.170,198.350,211.750,0.0000,100.0000,0.0000,0.0000
313.170,198.350,211.750,0.0000,100.0000,0.0000,0.0000
313.170,166.350,211.750,0.0000,100.0000,0.0000,0.0000
281.170,166.350,211.750,0.0000,100.0000,0.0000,0.0000
