# COSI2 B0 scan
# time 2024-05-23 16:40:13.117445
# MAGNET CENTER IN LAB: x 265.170 mm, y 182.350 mm, z 163.750 mm
# MAGNET AXES WRT LAB: alpha 0.00 deg, beta 0.00 deg, gamma 0.00 deg
# path: C:/cosi-measure/Software/COSI2/dummies/pathfiles/tst_cross.path
# X[mm],Y[mm],Z[mm],B0_x[mT],B0_y[mT|,B0_z[mT],B0_abs[mT]
195.170,182.350,163.750,0.0000,100.0000,0.0000,0.0000
202.540,182.350,163.750,0.0000,100.0000,0.0000,0.0000
209.910,182.350,163.750,0.0000,100.0000,0.0000,0.0000
217.280,182.350,163.750,0.0000,100.0000,0.0000,0.0000
224.640,182.350,163.750,0.0000,100.0000,0.0000,0.0000
232.010,182.350,163.750,0.0000,100.0000,0.0000,0.0000
239.380,182.350,163.750,0.0000,100.0000,0.0000,0.0000
246.750,182.350,163.750,0.0000,100.0000,0.0000,0.0000
254.120,182.350,163.750,0.0000,100.0000,0.0000,0.0000
261.490,182.350,163.750,0.0000,100.0000,0.0000,0.0000
268.850,182.350,163.750,0.0000,100.0000,0.0000,0.0000
276.220,182.350,163.750,0.0000,100.0000,0.0000,0.0000
283.590,182.350,163.750,0.0000,100.0000,0.0000,0.0000
290.960,182.350,163.750,0.0000,100.0000,0.0000,0.0000
298.330,182.350,163.750,0.0000,100.0000,0.0000,0.0000
305.700,182.350,163.750,0.0000,100.0000,0.0000,0.0000
313.060,182.350,163.750,0.0000,100.0000,0.0000,0.0000
320.430,182.350,163.750,0.0000,100.0000,0.0000,0.0000
327.800,182.350,163.750,0.0000,100.0000,0.0000,0.0000
335.170,182.350,163.750,0.0000,100.0000,0.0000,0.0000
265.170,112.350,163.750,0.0000,100.0000,0.0000,0.0000
265.170,119.720,163.750,0.0000,100.0000,0.0000,0.0000
265.170,127.090,163.750,0.0000,100.0000,0.0000,0.0000
265.170,134.460,163.750,0.0000,100.0000,0.0000,0.0000
265.170,141.820,163.750,0.0000,100.0000,0.0000,0.0000
265.170,149.190,163.750,0.0000,100.0000,0.0000,0.0000
265.170,156.560,163.750,0.0000,100.0000,0.0000,0.0000
265.170,163.930,163.750,0.0000,100.0000,0.0000,0.0000
265.170,171.300,163.750,0.0000,100.0000,0.0000,0.0000
265.170,178.670,163.750,0.0000,100.0000,0.0000,0.0000
265.170,186.030,163.750,0.0000,100.0000,0.0000,0.0000
265.170,193.400,163.750,0.0000,100.0000,0.0000,0.0000
265.170,200.770,163.750,0.0000,100.0000,0.0000,0.0000
265.170,208.140,163.750,0.0000,100.0000,0.0000,0.0000
265.170,215.510,163.750,0.0000,100.0000,0.0000,0.0000
265.170,222.880,163.750,0.0000,100.0000,0.0000,0.0000
265.170,230.240,163.750,0.0000,100.0000,0.0000,0.0000
265.170,237.610,163.750,0.0000,100.0000,0.0000,0.0000
265.170,244.980,163.750,0.0000,100.0000,0.0000,0.0000
265.170,252.350,163.750,0.0000,100.0000,0.0000,0.0000
265.170,182.350,93.750,0.0000,100.0000,0.0000,0.0000
265.170,182.350,101.120,0.0000,100.0000,0.0000,0.0000
265.170,182.350,108.490,0.0000,100.0000,0.0000,0.0000
265.170,182.350,115.860,0.0000,100.0000,0.0000,0.0000
265.170,182.350,123.220,0.0000,100.0000,0.0000,0.0000
265.170,182.350,130.590,0.0000,100.0000,0.0000,0.0000
265.170,182.350,137.960,0.0000,100.0000,0.0000,0.0000
265.170,182.350,145.330,0.0000,100.0000,0.0000,0.0000
265.170,182.350,152.700,0.0000,100.0000,0.0000,0.0000
265.170,182.350,160.070,0.0000,100.0000,0.0000,0.0000
265.170,182.350,167.430,0.0000,100.0000,0.0000,0.0000
265.170,182.350,174.800,0.0000,100.0000,0.0000,0.0000
265.170,182.350,182.170,0.0000,100.0000,0.0000,0.0000
265.170,182.350,189.540,0.0000,100.0000,0.0000,0.0000
265.170,182.350,196.910,0.0000,100.0000,0.0000,0.0000
265.170,182.350,204.280,0.0000,100.0000,0.0000,0.0000
265.170,182.350,211.640,0.0000,100.0000,0.0000,0.0000
265.170,182.350,219.010,0.0000,100.0000,0.0000,0.0000
265.170,182.350,226.380,0.0000,100.0000,0.0000,0.0000
265.170,182.350,233.750,0.0000,100.0000,0.0000,0.0000
