X[mm],Y[mm],Z[mm],Bx[mT],By[mT],Bz[mT]
254.38, 133.64, 200.28, -47.491000, -2.026000, -0.077000
245.43, 133.64, 200.28, -47.492000, -2.037000, -0.065000
236.48, 133.64, 200.28, -47.489000, -2.045000, -0.073000
227.54, 133.64, 200.28, -47.494000, -2.053000, -0.058000
209.64, 142.59, 200.28, -47.507000, -2.060000, -0.061000
218.59, 142.59, 200.28, -47.512000, -2.056000, -0.051000
227.54, 142.59, 200.28, -47.506000, -2.052000, -0.057000
236.48, 142.59, 200.28, -47.495000, -2.046000, -0.061000
245.43, 142.59, 200.28, -47.495000, -2.038000, -0.070000
254.38, 142.59, 200.28, -47.492000, -2.028000, -0.074000
272.27, 151.53, 200.28, -47.504000, -2.024000, -0.064000
263.33, 151.53, 200.28, -47.506000, -2.015000, -0.067000
254.38, 151.53, 200.28, -47.502000, -2.027000, -0.074000
245.43, 151.53, 200.28, -47.495000, -2.039000, -0.071000
236.48, 151.53, 200.28, -47.500000, -2.036000, -0.071000
227.54, 151.53, 200.28, -47.496000, -2.046000, -0.061000
218.59, 151.53, 200.28, -47.504000, -2.048000, -0.064000
209.64, 151.53, 200.28, -47.510000, -2.054000, -0.046000
200.69, 160.48, 200.28, -47.522000, -2.054000, -0.049000
209.64, 160.48, 200.28, -47.523000, -2.057000, -0.053000
218.59, 160.48, 200.28, -47.508000, -2.050000, -0.065000
227.54, 160.48, 200.28, -47.506000, -2.039000, -0.046000
236.48, 160.48, 200.28, -47.504000, -2.030000, -0.059000
245.43, 160.48, 200.28, -47.498000, -2.033000, -0.056000
254.38, 160.48, 200.28, -47.500000, -2.034000, -0.069000
263.33, 160.48, 200.28, -47.502000, -2.024000, -0.054000
272.27, 169.43, 200.28, -47.504000, -2.017000, -0.067000
263.33, 169.43, 200.28, -47.510000, -2.017000, -0.056000
254.38, 169.43, 200.28, -47.505000, -2.030000, -0.053000
245.43, 169.43, 200.28, -47.502000, -2.031000, -0.053000
236.48, 169.43, 200.28, -47.504000, -2.034000, -0.043000
227.54, 169.43, 200.28, -47.502000, -2.041000, -0.052000
218.59, 169.43, 200.28, -47.507000, -2.042000, -0.063000
209.64, 169.43, 200.28, -47.511000, -2.052000, -0.062000
200.69, 178.37, 200.28, -47.516000, -2.050000, -0.060000
209.64, 178.37, 200.28, -47.510000, -2.050000, -0.062000
218.59, 178.37, 200.28, -47.509000, -2.041000, -0.052000
227.54, 178.37, 200.28, -47.503000, -2.041000, -0.050000
236.48, 178.37, 200.28, -47.502000, -2.030000, -0.059000
245.43, 178.37, 200.28, -47.500000, -2.023000, -0.047000
254.38, 178.37, 200.28, -47.502000, -2.036000, -0.049000
263.33, 178.37, 200.28, -47.505000, -2.023000, -0.051000
263.33, 187.32, 200.28, -47.508000, -2.026000, -0.038000
254.38, 187.32, 200.28, -47.503000, -2.026000, -0.049000
245.43, 187.32, 200.28, -47.496000, -2.027000, -0.032000
236.48, 187.32, 200.28, -47.496000, -2.031000, -0.054000
227.54, 187.32, 200.28, -47.498000, -2.039000, -0.049000
218.59, 187.32, 200.28, -47.501000, -2.039000, -0.059000
218.59, 196.27, 200.28, -47.500000, -2.038000, -0.054000
227.54, 196.27, 200.28, -47.491000, -2.030000, -0.052000
236.48, 196.27, 200.28, -47.490000, -2.038000, -0.046000
245.43, 196.27, 200.28, -47.492000, -2.026000, -0.030000
254.38, 223.11, 209.22, -47.485000, -2.014000, -0.006000
245.43, 223.11, 209.22, -47.478000, -2.022000, -0.024000
236.48, 223.11, 209.22, -47.475000, -2.014000, -0.024000
227.54, 223.11, 209.22, -47.474000, -2.033000, -0.039000
200.69, 214.16, 209.22, -47.496000, -2.040000, -0.072000
209.64, 214.16, 209.22, -47.499000, -2.046000, -0.072000
218.59, 214.16, 209.22, -47.491000, -2.039000, -0.054000
227.54, 214.16, 209.22, -47.485000, -2.030000, -0.048000
236.48, 214.16, 209.22, -47.479000, -2.030000, -0.029000
